;restraints are all 17 characters
Cargo_AiImages,AI Images
Cargo_AtomicBlueprints,Atomic Blueprints
Cargo_ConsumerData,Consumer Data
Cargo_PrivateData,Private Data
Cargo_SecureData,Secure Data
Cargo_Software,Software
Cargo_Avionics,Avionics
Cargo_Computers,Computers
Cargo_ConsumerElectronics,Consumer Electronics
Cargo_Cybernetics,Cybernetics
Cargo_DataStorage,DataStorage
Cargo_Instrumentation,Instrumentation
Cargo_MedicalElectronics,Medical Electronics
Cargo_Nanotechnology,Nanotechnology
Cargo_Robotics,Robotics
Cargo_AgriculturalEquipment,Agricultural Equipment
Cargo_Environmental,Environmental
Cargo_MachineTools,Machine Tools
Cargo_MiningEquipment,Mining Equipment
Cargo_PowerSystems,Power Systems
Cargo_Terraforming,Terraforming
Cargo_Vehicles,Vehicles
Cargo_Alcohol,Alcohol
Cargo_Art,Art
Cargo_Furs,Furs
Cargo_Jewellery,Jewellery
Cargo_LuxuryConsumerGoods,Luxury Consumer Goods
Cargo_LuxuryFoodstuffs,Luxury Foodstuffs
Cargo_Narcotics,Narcotics
Cargo_SportingGoods,Sporting Goods
Cargo_ConsumerGoods,Consumer Goods
Cargo_MedicalSupplies,Medical Supplies
Cargo_Pharmaceuticals,Pharmaceuticals
Cargo_SurvivalEquipment,Survival Equipment
Cargo_Bacteria,Bacteria
Cargo_Biomass,Biomass
Cargo_Fauna,Fauna
Cargo_Flora,Flora
Cargo_Fungi,Fungi
Cargo_GeneticMaterial,Genetic Material
Cargo_ProcessedFoodstuffs,Processed Foodstuffs
Cargo_UnprocessedFoodstuffs,Unprocessed Foodstuffs
Cargo_Waste,Waste
Cargo_Antimatter,Antimatter
Cargo_ConstructionMaterial,Construction Material
Cargo_Exotics,Exotics
Cargo_Fuel,Fuel
Cargo_Gemstones,Gemstones
Cargo_Hydrocarbons,Hydrocarbons
Cargo_Metals,Metals
Cargo_Radioactives,Radioactives
Cargo_BulkChemicals,Bulk Chemicals
Cargo_Gasses,Gasses
Cargo_Ore,Ore
Cargo_Rocks,Rocks
Cargo_Water,Water
Cargo_CombatVehicles,Combat Vehicles
Cargo_NBCWarfare,NBC Warfare
Cargo_Ordinance,Ordnance
Cargo_PersonalWeapons,Personal Weapons
Cargo_SpacecraftWeapons,Spacecraft Weapons
Cargo_SpacecraftDefenceSystems,Spacecraft Defence Systems
Cargo_Data,Data
Cargo_Electronics,Electronics
Cargo_HeavyEngineering,Heavy Engineering
Cargo_Luxuries,Luxuries
Cargo_ManufacturedGoods,Manufactured Goods
Cargo_OrganicMaterials,Organic Materials
Cargo_ProcessedMaterials,Processed Materials
Cargo_RawMaterials,Raw Materials
Cargo_WeaponSystems,Weapon Systems
Cargo_IndustrialWater,"Industrial Water"
Cargo_ReactorFuel,"Reactor Fuel"
Cargo_AntimatterGoods,"Antimatter Goods"
Cargo_Blueprints,"Blueprints"
; Cargo type names: 17 characters only please (17 is the most we'll guarantee,
; but, because of the font not being fixed width, you can probably safely 
; use up to 20, perhaps even 22. Probably. If there are lots of 'i's and not
; many 'M's)
;
; Weapon blueprints
Cargo_SeekerMineBlueprints,External Harrower Missile Magazine
Cargo_AchillesBlueprints,External PBC
Cargo_AntimatterMineBlueprints,"A-M Mine Blueprints"
Cargo_AntimatterMissileBlueprints,"A-M Msl. Blueprints"
Cargo_BlizzardMissileBlueprints,"Blizzard Blueprints"
Cargo_DeadshotBlueprints,"Deadshot Blueprints"
Cargo_DeathblowBlueprints,"Deathblow Blueprints"
Cargo_DecoyBlueprints,"Decoy Blueprints"
Cargo_DisruptorBlueprints,"Disruptor Blueprints"
Cargo_LDSi3000Blueprints,"LDSi 3000 Blueprints"
Cargo_LDSiMineBlueprints,"LDSi Mine Blueprints"
Cargo_LDSiMissileBlueprints,"LDSi Msl. Blueprints"
Cargo_SniperCannonAmmoBlueprints,"Sniper Rnd. Blueprints"
Cargo_MiningChargeBlueprints,"Charge Blueprints"
Cargo_ProximityMineBlueprints,"Prox. Mine Blueprints"
Cargo_PulsarBlueprints,"Pulsar Blueprints"
Cargo_RemoteMissileBlueprints,"Rem. Msl. Blueprints"
Cargo_RemoteProbeBlueprints,"Rem. Probe Blueprints"
Cargo_SmartDecoyBlueprints,"AI Decoy Blueprints"
; Antimatter cargo type name override
Cargo_Antimatter,"Antimatter"
; Cargo types
Cargo_ValuableJewellery,"Valuable Jewellery"
Cargo_CommonOre,"Common Ore"
Cargo_CommonMetals,"Common Metals"
Cargo_PowerPlant,"Reactors"
Cargo_DeionisedWater,"De-ionised Water"



