;,,
;List of faction names and abbreviations,,
;,,

;;;;;;;;;;;;;;;;;;;;;;,,
;Governments,,

;Emerald Navy,,
Military,Emerald Alliance Navy,A NVY

;Leung Empire,,
Government,Leung Imperial Navy,I NVY

;Sultanate royal guard,,
MAAS Corporation,Sultanate Royal Guard,ROYAL

;Caliphate,,
KIMO Shipping,Caliphate of Yezhid,YEZHI

;Corliss Defense Force gov,,
Police,Corliss Defense Force,CDF

;CMC Security Services,,
Advanced Security Corp,CMC Security Services,CMCSS



;;;;;;;;;;;;;;;;;;,,
;; Criminal Houses,,

;Lindevaal Crime,,
Underworld,Lindevaal Family,LIND

;Pimental crime,,
Carva Cartel,Pimental Family,PIMTL

;Gargoyles pirate crime,,
Marauders,Gargoyles,GARG

;Takanan Raiders,,
Angels,Takanan Raider,RAID

;Droznic crime,,
The Oman,Droznic Family,DROZ

;Golden Lotus,,
Dester Corporation,Golden Lotus,GOLD

;Forty Thieves,,
Infonet,Forty Thieves,FORTY



;;;;;;;;;;;;;;;;;;;;;;;;,,
;Independent Peoples,,



;Aikenites,,
Wordsworth Technology,Aikenite,AIKEN

;,,
Independent,Independent, INDY

;Transients,,
Transient,Transient,TRANS

;Junkers,,
Junkers,Junkers,JUNKS

;Emerald Citizens,,
The Third Way,Alliance Independent,AIND

;Leung Citizens,,
Ashanti Investment,Imperial Independent,IIND

;Sultanate Citizens,,
Chon Bodifule,Khalilistani,IKHIL

;Caliphate Citizens,,
Hibatsh PMC,Caliphate Independent,ICALH

;Corliss/Watts Citizens,,
Low Orbit Recovery,Corporate Independent,ICRP



;;;;;;;;;;;;;;;;;;;;;;;,,
;Independent Criminals,,

;Scavengers,,
Kong,Scavengers,SCAV

;(leung independents),,
League,Uncleansed,UCLN

;(sultanate independents),,
M.C.A.,Faceless,FLESS



;;;;;;;;;;;;;;;;;;;;,,
;MegaCorporations,,

;Azran,,
NOMEX Corporation,Azran Corporation,AZRAN

;Chavez Shiping,,
Society,Chavez Shipping,CHAVZ

;CMC Mining,,
Helios Mining,CMC Mining,CMCM

;Corliss Conglomerate,,
Crosspoint Minerals,Corliss Conglomerate,CRLC

;Doran AMN ,,
Exile,Doran Asteroid Mining,DAMN

;EtCom,,
Network 54,EtCom Corporation,ETCOM

;Grinnel Freightlines,,
Trimann Shipping,Grinnel Freightlines,GRNL


;Imperial Mining,,
Von Schelling Industries,Imperial Mining Institute,IMI

;Kronholm Manufacturing,,
Megalith Corp,Kronhom Manufacturing,KMAN

;Lomax,,
LOMAX Technologies,LOMAX Technologies,LXTEK

;Markus Corporation,,
Stellar Net,Markus Corporation,MARKS

;Mesa Corporation,,
Orion Products,Mesa Corporation,MESA

;NSO Laplace ,,
NSO Laplace,NSO Laplace,NSO-L

;Saffron Industries,,
Rhondus Gas Mining,Saffron Industries,S IND

;Stellar Paramed,,
Highlife Products,Stellar Paramed,SPARA

;Universal Consumer Products,,
Universal Consumer Products,Universal Consumer Products,UNICP

;Jardine Terraforming,,
Jardin Terraforming,Jardin Terraforming,JARDN


;;;;;;;;;;;;;;;;;;;;,,
;Extra,,

Whind Weapons Systems,Whind Weapons Systems,WHIND



Coventry Engineering Research,Coventry Engineering Research,CVNTY

NINEX Wetware,NINEX Wetware,NXWET



;;;;;;;;;;;;;;;;;;;;;;,,
;; Mercenaries,,

;Golligers Privateers,,
Stepson,Golligers Privateer,GOLLI

;Black Dragons,,
Numiko Products,Black Dragon Mercenary,BLACK

;Archangles,,
LOMAX Engines,Archangles Mercenary,ANGLE

;Fist of Akra,,
Netcom SA,Fist of Akra,FIST


;;;;;;;;;;;;;;;;;;;;;,,
; Special Factions,,

;Brethren,,
Datagon Technologies,Brethren,XXXXX

;Defense Machines,,
Micoria Communications,Epitaph Defense Machine,XXXXX

;Player,,
Player,Cal Johnston,XXXXX

;Abandoned,,
Aliens,Abandon,EMPTA

;The PS empty faction,,
Neutral,Abandoned,EMPTY


FT_Love,Allies,
FT_Like,Friendly,
FT_Neutral,Neutral,
FT_Dislike,Dislike
FT_Hate,Open War
