; Translation strings for the Equipment Sell Screen,
gt_equipsell_price,"Price"
gt_equipsell_discount,"Discount"
gt_equipsell_total_price,"Total Price"
gt_equipsell_funds,"Funds"
gt_equipsell_current_order,"Current Offer"
gt_equipsell_total_pods,"Total Pods"
gt_equipsell_title,"SELL EQUIPMENT"
gt_equipsell_subtitle,"systems and ammo"
gt_equipsell_exit,"EXIT"
gt_equipsell_purchase_all,"Sell Offer"
gt_equipsell_station_inventory,"Buyer Needs"
gt_equipsell_offer_item,"Offer Item"
gt_equipsell_offer_all_item,"Offer 10"
gt_equipsell_your_order,"Your Offer"
gt_equipsell_remove_item,"Remove Item"
gt_equipsell_remove_all_item,"Remove All"
gt_equipsell_buy_screen,"Buy Screen"
gt_equipsell_your_equipment,"Your Equipment Inventory"
gt_equipsell_equipment_info,"Equipment Info"
gt_equipsell_unwanted,"No Sale"
