;
; Cargo systems
;
Cargo_AchillesShieldDisruptor,"Missile Launcher - Achilles","Achilles Lch."
Cargo_AchillesShieldDisruptors,"Missile - Achilles","Achilles Msl."
Cargo_ActiveCooler,"Active Cooler","Active Cooler"
Cargo_ActiveSensorPackage,"Sensors - Active 2","Act Sensor 2"
Cargo_AdvancedActiveSensors,"Sensors - Active 3","Act Sensor 3"
Cargo_AdvancedHeatSink,"Advanced Heat Sink","Adv Heat-Sink"
Cargo_AdvancedHullMaterialRefit,"Advanced Hull","Adv Hull"
Cargo_AdvancedPassiveSensors,"Sensors - Passive 3","Pass Sensor 3"
Cargo_AdvancedSensorDisruptor,"Signal Mask 3","Sig Mask 3"
Cargo_AggressorShieldUpgrade,"Aggressor Shield","Aggr Shield"
Cargo_AlphaHeatSink,"Heat-Sink - Alpha","Alpha H-S"
Cargo_AntimatterMine,"Antimatter Mine","A-M Mine"
Cargo_AntimatterMines,"Antimatter Mine Pack","A-M Mine Pack"
Cargo_AntimatterParticleBeam,"Antimatter PBC","A-M PBC"
Cargo_AntimatterPowerPod,"Antimatter Power Pod","A-M Pod"
Cargo_AntimatterStreamer,"Antimatter Stream","A-M Stream"
Cargo_AntimatterRemote,"Antimatter REM Msl.","A-M REM Msl"
Cargo_ArmouredHullPlates,"Hull Armour","Hull Armour"
Cargo_AssaultCannon,"Assault Cannon","Assault Cannon"
Cargo_AssaultCannonAmmo,"Ammo - Assault Cannon","Assault Ammo"
Cargo_AssaultCannonAmmoRound,"Assault Cannon Round","Assault Round"
Cargo_AssaultCannonRingModel,"Assault Cannon","Assault Cannon"
Cargo_AssaultShield,"LDA - Assault","Assault LDA"
Cargo_AutopilotDock,"Docking Autopilot","Docking A-P"
Cargo_BetaHeatSink,"Heat-Sink - Beta","Beta H-S"
Cargo_BlizzardRocket,"Blizzard Rkt","Blizzard Rkt"
Cargo_BlizzardRocketPod,"Blizzard Pack","Blizzard Pack"
Cargo_CapsuleDrive,"Capsule Drive","Capsule Drive"
Cargo_ColdGasThrusters,"Cold-Gas Thrusters","Cold Thrusters"
Cargo_CombatShields,"LDA - Combat","Combat LDA"
Cargo_CompactShipAI,"CPU - Compact AI","Compact AI"
Cargo_CooledPBC,"Cryo PBC","Cryo PBC"
Cargo_CuttingBeam,"Beam - Cutting","Cutting Beam"
Cargo_DeadshotMissile,"Missile Launcher - Deadshot","Deadshot Lch."
Cargo_DeadshotMissiles,"Missile - Deadshot","Deadshot Msl."
Cargo_DeathblowRemote,"Death-Blow REM Pack","D-Blow REM Pack"
Cargo_DeathblowRemoteMissile,"Death-Blow REM Msl.","D-Blow REM Msl"
Cargo_Decoy,"Decoy Launcher - ECM","ECM Decoy Lch."
