;,,
; Cargo systems Addendum,,
;,,
Cargo_PowerUpRegularHealth,Health PowerUp,Health 
Cargo_PowerUpSuperHealth,Super Health PowerUp,Super Health
Cargo_PowerUpSpeedTimesTwo,Speed X2 PowerUp,Speed X2
Cargo_PowerUpSpeedTimesThree,Speed X3 PowerUp,Speed X3
Cargo_PowerUpSpeedDivTwo,Speed X2 PowerDown,1/2 Speed 
Cargo_PowerUpBomb,Bomb PowerUp,Bomb

; Antimatter remote missile pack
Cargo_AntimatterRemotePack,"Antimatter REM Pack","A-M REM Pack"
Cargo_LDSClass3Drive,"LDS Class 3","LDS Class 3"

