;Localised text for the Location Finder mod.,
;,
; General keys,
;,
zz_lf_location_finder,NAVIGATION
zz_lf_subtitle,"Current System: "
zz_lf_system,SYSTEM
zz_lf_selected_location,LOCATION FINDER WAYPOINT
zz_lf_viewing_location,LOCATION
zz_lf_locations,LOCATIONS
zz_lf_set_waypoint,SET LOCATION WAYPOINT
zz_lf_clear_waypoint,CLEAR LOCATION WAYPOINT
zz_lf_exit,CLOSE
zz_lf_prefix,LF:
zz_lf_none,None
zz_lf_no_waypoint_set,NO WAYPOINT SET

zz_lf_add_fav,ADD TO FAVOURITES
zz_lf_rem_fav,REMOVE FROM FAVOURITES
zz_lf_addtofav_head,ADDED TO FAVOURITES
zz_lf_remfromfav_head,REMOVED FROM FAVOURITES

zz_lf_empty_system,"Empty System"
zz_lf_empty, "Empty"
zz_lf_none,"None"
zz_lf_unknown_mine,"Unknown Mine"
zz_lf_unknown_type,"Unknown Type"
zz_lf_unknown_status,"Unknown Status"
zz_lf_unknown_faction,"Unknown Faction"
zz_lf_unknown_owner,"Unknown Owner"
zz_lf_lagrange_point,"Lagrange Point"
zz_lf_body,"Body"
zz_lf_no_owner,"No Owner"
