; Wingmen responding

; Errors
epo_invalid_order, "That order was not valid, issue bug report"


; Ship runs

epo_wingman_flees, "We are damaged and bugging out!"

; General refuse orders
epo_refuse_no_target, "Your target is invalid"

epo_refuse_target_far, "That target is out of range"
epo_refuse_player_far, "You are too far from our group"
epo_refuse_out_of_system, "Negative. Our ship is out of system"

epo_refuse_ship_docked, "Negative. Our ship is docked"
epo_refuse_loading_cargo, "Negative. We are loading cargo"
epo_refuse_fueling, "Negative. We are pumping fuel"



; Status Command
epo_group_ack, "Here"
epo_status_ack, "We are alive"
epo_status_no_fuel, "We are out of fuel and immobile"


; Halt Command
epo_halt_order_ack, "Halting ship"


;Attack Command
epo_attack_target_ack, "Attacking your target"
epo_not_wingman, "We can only add wingmen to groups"
epo_refuse_not_warship, "Negative. This is not a warship!"
epo_refuse_player_ship_target, "We cannot attack our own ships"


;Escort Command
epo_escort_target_ack, "Escorting your target"
epo_escort_player_ack, "Escorting you"


; Formate Command
epo_formate_target_ack, "Forming up with your target"
epo_formate_player_ack, "Forming up with you"


; Dock Command
epo_dock_target_ack, "Docking with your target"
epo_docking_complete, "Docking complete"

; Undock Command
epo_undock_ack, "Undocking"




; Fuel Commands
epo_refuel_target_ack, "Refueling your target"
epo_drain_fuel_ack, "Draining fuel from your target"
epo_fuel_ship_ack, "Fueling your target"
epo_fuel_fleet_ack, "Fueling nearby wingmen"
epo_drain_fuel_ack, "Draining fuel pod"


epo_refueling_finished, "Finished refueling "

epo_refuse_not_tanker, "Negative. We are not a fuel tanker"
epo_refuse_fuel_only_ships, "We can only fuel ships"

epo_tanker_empty, "Our tanker is empty"
epo_fleet_fueling_complete, "Fueling all ships complete"
epo_fuel_drain_complete, "Fuel draining complete"
epo_refuse_not_fuel_pod, "Only your fuel pods can be drained"

epo_refuse_drain_only_player, "Only your pods can be drained"


; Cargo load/unload commands

epo_load_cargo_pod_ack, "Loading target pod now"
epo_load_cargo_pods_ack, "Collecting nearby cargo pods"
epo_load_cargo_stopping_ack, "Halting cargo collection"

epo_refuse_no_pods, "Negative. No unclaimed pods nearby"
epo_refuse_no_empty_ports, "Negative. We are fully loaded"

epo_cargo_load_done, "Cargo loading complete"

epo_unload_pods_ack, "Unloading cargo pods"
epo_cargo_unloading_done, "Cargo unloading complete"

epo_not_cargo_pod, "That is not a cargo pod"
epo_not_player_pod, "We can only control your cargo pods"


; Long range scan commands

epo_scan_order_ack, "Deploying long range sensors"
epo_scan_started, "Sensors online. Sweep underway"
epo_scan_packing, "Retracting long range sensors"
epo_scan_sky_success, "Scan has detected new stations"
epo_scan_sky_failed, "Scan shows nothing in range"

epo_refuse_not_scan_ship, "Negative. Our ship has no long range scan"




; Mining commands

epo_miner_docking_ack,"Going for Approach and Attachment now"

epo_refuse_not_player_mine, "You must claim the mine before we can extract ore"

epo_refuse_not_mining_ship, "Negative. Our ship is not a mining rig"

epo_mining_rig_docked, "Mining rig attached. Starting extraction"

epo_mining_dock_cancelled, "Cancelling docking approach"

epo_refuse_no_mine_near, "There is no mine nearby"

epo_refuse_unclaimed_mine, "Negative. You must first survey and claim this mine"

epo_mining_rig_undocking, "Mining rig detaching"




; Prospecting commands

epo_prospector_ack, "Docking with survey asteroid"

epo_refuse_claimed_asteroid, "Negative. This mine has already been claimed"

epo_refuse_not_prospector, "We are not a prospecting ship"

epo_prospector_attaching,"We are attached to the surface"

epo_prospector_survey_delay,"The survey will take a few days"

epo_prospector_send_email,"We will notify you by email when we are done"

epo_prospector_docking_cancelled, "Cancelling docking approach" 

epo_prospector_undocking,"Detaching from survey asteroid"

; Az speech in tsWingman

epo_ship_out_of_system, "That wingmen is not in this system.  We can't reach them"


; StationAi responses

pcsa_station_acknowledges_player_comms, "We are receiving you...please transmit your request."
pcsa_station_acknowledges_player_comms_1, "We are receiving you...please transmit your request."
pcsa_station_acknowledges_player_comms_2, "We are receiving you...please transmit your request."
pcsa_station_acknowledges_player_comms_3, "We are receiving you...please transmit your request."
pcsa_station_acknowledges_player_comms_4, "We are receiving you...please transmit your request."
pcsa_station_acknowledges_player_comms_5, "We are receiving you...please transmit your request."

pcsa_player_wondering_about_universal_dock_queue, "How is that queue coming along?  My turn soon?"
pcsa_player_wondering_about_universal_dock_queue_1, "How is that queue coming along?  My turn soon?"
pcsa_player_wondering_about_universal_dock_queue_2, "How is that queue coming along?  My turn soon?"
pcsa_player_wondering_about_universal_dock_queue_3, "How is that queue coming along?  My turn soon?"
pcsa_player_wondering_about_universal_dock_queue_4, "How is that queue coming along?  My turn soon?"
pcsa_player_wondering_about_universal_dock_queue_5, "How is that queue coming along?  My turn soon?"

pcsa_player_wants_switch_to_universal_dock, "I'd like to cancel the freight dock request, and switch to the regular dock"
pcsa_player_wants_switch_to_universal_dock_1, "I'd like to cancel the freight dock request, and switch to the regular dock"
pcsa_player_wants_switch_to_universal_dock_2, "I'd like to cancel the freight dock request, and switch to the regular dock"
pcsa_player_wants_switch_to_universal_dock_3, "I'd like to cancel the freight dock request, and switch to the regular dock"
pcsa_player_wants_switch_to_universal_dock_4, "I'd like to cancel the freight dock request, and switch to the regular dock"
pcsa_player_wants_switch_to_universal_dock_5, "I'd like to cancel the freight dock request, and switch to the regular dock"

