
sultanate,"Sultanate of Khalilistan"
map:/geog/middle/aleppo,"Aleppo"
map:/geog/middle/al_wadi,"Al Wadi"        
map:/geog/middle/ivory_garden,"Ivory Garden"   
map:/geog/middle/new_const,"New Constantinople"  
    
caliphate,"Caliphate of Yezhid"
map:/geog/middle/saladin,"Saladin"        
map:/geog/middle/nureddin,"Nureddin" 
      
barrens,"The Barrens"
map:/geog/middle/hant,"Hant"           
map:/geog/middle/akra,"Akra"           
map:/geog/middle/epitaph,"Epitaph"        
map:/geog/middle/lombard,"Lombard"        
map:/geog/middle/ripon,"Ripon" 
         
corliss_cong,"Corliss Conglomerate"
map:/geog/middle/nisami,"Nisami"         
map:/geog/middle/corliss,"Corliss" 
       
cmc_watts,"Consolidated Mining Corporation"
map:/geog/middle/watts,"Watts" 
         
leung_empire,"Leung Empire"
map:/geog/middle/kronholm,"Kronholm"       
map:/geog/middle/li_po,"Li Po"          
map:/geog/middle/tau_tsun,"Tau Tsun"       
map:/geog/middle/xu_xuan,"Xu Xuan" 
       
emerald_alliance,"Emerald Alliance"
map:/geog/middle/providence,"Providence"     
map:/geog/middle/emerald_sys,"Emerald"    
map:/geog/middle/penda,"Penda"          
map:/geog/middle/huang,"Huang"

dead_reaches,"The Dead Reaches"          
map:/geog/middle/bumpys_star,"Bumpy's Star"    
map:/geog/middle/alcuin,"Alcuin"         
map:/geog/middle/bedalov,"Bedalov"        
map:/geog/middle/powys,"Powys"          
map:/geog/middle/t_ang,"T'Ang"  
