bedalov_center,"bedalov"
Bedalov,"Bedalov"
Pallava,"Pallava"
Seelye,"Seelye"
Harman,"Harman"
Julich,"Julich"
Moravek,"Moravek"
Mosgrove,"Mosgrove"
Hummel,"Hummel"
Calbault,"Calbault"
Mining Outpost,"Mining Outpost"
Kuhlmey,"Kuhlmey"
Hough Belt,"Hough Belt"
Asteroid Base,"Asteroid Base"
Poboron,"Poboron"
Mason,"Mason"
Eaton,"Eaton"
Ore Processing Facility,"Ore Processing Facility"
Manufacturing Station,"Manufacturing Station"
Kirby,"Kirby"
Mavor,"Mavor"
Markides Belt,"Markides Belt"
Markides Mining Outpost,"Markides Mining Outpost"
Markides Processing Station,"Markides Processing Station"
Knutson,"Knutson"
Sunczyk,"Sunczyk"
Kambeitz,"Kambeitz"
Pasechnik,"Pasechnik"
Janik,"Janik"
Kirby Lpoint,"Kirby Lpoint"
Calbault Lpoint,"Calbault Lpoint"
