new_const_center,"new_const"
Tulinid,"Tulinid"
Al Battani,"Al Battani"
Accolus,"Accolus"
Aurius,"Aurius"
Carolus,"Carolus"
Djibouti,"Djibouti"
Battani Sation,"Battani Sation"
Leolius,"Leolius"
Marius Base,"Marius Base"
Olalius,"Olalius"
Singulus,"Singulus"
Trochlius,"Trochlius"
Aljaya,"Aljaya"
Mariq,"Mariq"
Tariq,"Tariq"
Manufacturing Station,"Manufacturing Station"
Antara,"Antara"
Akbar,"Akbar"
Biralla,"Biralla"
Ibrahim,"Ibrahim"
Joaqim,"Joaqim"
Omar,"Omar"
Raballa,"Raballa"
Ashalla,"Ashalla"
Harsha,"Harsha"
Hira,"Hira"
Dramhin,"Dramhin"
Eva Cara,"Eva Cara"
Waystation Station,"Waystation Station"
Ibn Abi R abia,"Ibn Abi R abia"
Harun,"Harun"
Muhammed,"Muhammed"
Kasim,"Kasim"
Kasim Station,"Kasim Station"
Cindra,"Cindra"
New Constantinople,"New Constantinople"
Idris,"Idris"
TheMustapha Institute,"TheMustapha Institute"
Iona,"Iona"
New Constantinople STC,"New Constantinople STC"
New Constantinople Trade Bureau HQ,"New Constantinople Trade Bureau HQ"
Sirocco,"Sirocco"
Brophius,"Brophius"
Eimskip,"Eimskip"
Gruner,"Gruner"
Jazeel,"Jazeel"
Jazeel Naval Shipyard,"Jazeel Naval Shipyard"
Ludmilla,"Ludmilla"
Matella,"Matella"
Naleema,"Naleema"
Occam,"Occam"
Omalla,"Omalla"
Pasha,"Pasha"
Rula,"Rula"
Suleyman,"Suleyman"
Telos,"Telos"
Asteroids,"Asteroids"
Asteroid Base,"Asteroid Base"
Research Facility,"Research Facility"
Zelda,"Zelda"
Jazeel Lpoint,"Jazeel Lpoint"
Aurius Lpoint,"Aurius Lpoint"
