nisami_center,"nisami"
Nisami,"Nisami"
Hom,"Hom"
Noda,"Noda"
Mori,"Mori"
Gas Mining Outpost,"Gas Mining Outpost"
Gurkan,"Gurkan"
Wurts,"Wurts"
Bromley,"Bromley"
Markus Corporation HQ Station,"Markus Corporation HQ Station"
Ostergard,"Ostergard"
Markus Corp. Manufacturing Station,"Markus Corp. Manufacturing Station"
Odom,"Odom"
Travis,"Travis"
Odom Waystation Station,"Odom Waystation Station"
Gas Mining Outpost,"Gas Mining Outpost"
Dugald,"Dugald"
Sento,"Sento"
Markus Corp Research Labs,"Markus Corp Research Labs"
Yamagishi,"Yamagishi"
Shimizu,"Shimizu"
Shimizu Mines,"Shimizu Mines"
Suzuki,"Suzuki"
Noda Lpoint,"Noda Lpoint"
Dugald Lpoint,"Dugald Lpoint"
