akra_center,"akra"
Akra,"Akra"
Recared,"Recared"
Shahar,"Shahar"
Zettel,"Zettel"
Nomad,"Nomad"
Gundobad,"Gundobad"
Trinidad,"Trinidad"
Brentano,"Brentano"
Fonseka Foundation HQ,"Fonseka Foundation HQ"
Pollard,"Pollard"
Akra STC,"Akra STC"
Espirito Santo,"Espirito Santo"
Stahl,"Stahl"
CMC mining Outpost,"CMC mining Outpost"
CMC Security Station,"CMC Security Station"
Hevesi,"Hevesi"
Hevesi Station,"Hevesi Station"
Surya Dava,"Surya Dava"
Surya Grande,"Surya Grande"
Surya Pocito,"Surya Pocito"
Varley,"Varley"
Wyndham,"Wyndham"
Margate,"Margate"
Williams,"Williams"
Powell,"Powell"
Wrecked Waystation Station,"Wrecked Waystation Station"
Umberto,"Umberto"
Placentia,"Placentia"
New Adelaide,"New Adelaide"
New Adelaide processing Facility,"New Adelaide processing Facility"
Clark,"Clark"
Todd,"Todd"
Clayton,"Clayton"
Brown,"Brown"
Powell Lpoint,"Powell Lpoint"
Brown Lpoint,"Brown Lpoint"
