Center,al_wadi_center,0,0,0,1,0,0,0,0,,,end,

;Star, name, parent, distance, rotation, elevation, magnitude, end,
Star,Al Wadi,al_wadi_center,0,0,0,5,end,
;Belt, name, parent, distance, rotation, elevation, field size, end,
Belt,Belt of Power,Al Wadi,3000000000.000000,0.000000,0,2500000.000000,end,
;Belt, name, parent, distance, rotation, elevation, field size, end,
Belt,Belt of Riches,Al Wadi,4500000000.000000,30.000000,0,2500000.000000,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Asteroid Base 1,Belt of Riches,18000000.000000,30.000000,0,1,0,0,22,53,9,10,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Asteroid Base 2,Belt of Riches,18000000.000000,157.000000,0,1,0,0,20,8,9,10,end,

;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (planet),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Kaffal Djoba,Al Wadi,6750000000.000000,60.000000,0,1,0,0,0,3138492.996002,2,1,10,7,200,200,200,55,55,55,127,44,34,255,0,0,end,

;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (planet),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Rumi,Al Wadi,10125000000.000000,90.000000,0,1,0,0,0,7168156.987213,2,1,11,27,200,200,200,55,55,55,127,44,34,255,0,0,end,
;Belt, name, parent, distance, rotation, elevation, field size, end,
Belt,Belt of Great Wealth,Al Wadi,15187500000.000000,120.000000,0,2500000.000000,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Asteroid Base,Belt of Great Wealth,18000000.000000,120.000000,0,1,0,0,22,53,9,10,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Neutronium Ore Handling Station,Belt of Great Wealth,18000000.000000,247.000000,0,1,0,0,1,15,9,10,end,

;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (giant),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Khodaverdi,Al Wadi,22781250000.000000,150.000000,0,1,0,0,0,28179876.094852,4,2,9,0,200,200,200,149,138,114,127,116,96,0,5,255,end,
;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (moon),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Adjaina,Khodaverdi,400000000.000000,150.000000,0,1,0,0,0,4523528.905322,3,1,28,36,126,145,139,15,15,15,127,44,34,255,0,0,end,
;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (moon),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Al Paz,Khodaverdi,480000000.000000,180.000000,0,1,0,0,0,6808564.571458,3,1,6,52,139,147,142,15,15,15,127,44,34,255,0,0,end,
;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (moon),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Califendi,Khodaverdi,576000000.000000,210.000000,0,1,0,0,0,6299880.254457,3,1,20,36,130,113,112,15,15,15,127,44,34,255,0,0,end,
