Center,aleppo_center,0,0,0,1,0,0,0,0,,,end,

;Star, name, parent, distance, rotation, elevation, magnitude, end,
Star,Aleppo,aleppo_center,0,0,0,5,end,

;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (giant),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Al Qilaal,Aleppo,3000000000.000000,0.000000,0,1,0,0,0,83520615.253151,4,2,2,0,200,200,200,149,138,114,127,116,96,0,5,255,end,
;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (moon),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Malil,Al Qilaal,400000000.000000,0.000000,0,1,0,0,0,6336031.678213,3,1,20,42,134,104,103,15,15,15,127,44,34,255,0,0,end,
;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (moon),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Sarfati,Al Qilaal,480000000.000000,30.000000,0,1,0,0,0,1140385.143590,3,1,0,40,115,134,107,15,15,15,127,44,34,255,0,0,end,
;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (moon),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Al Barran,Al Qilaal,576000000.000000,60.000000,0,1,0,0,0,4889469.588305,3,1,2,47,136,109,134,15,15,15,127,44,34,255,0,0,end,
;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (moon),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Ayala,Al Qilaal,691200000.000000,90.000000,0,1,0,0,0,7484603.411969,3,1,20,44,104,127,102,15,15,15,127,44,34,255,0,0,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Ayala Trade Depot,Ayala,14969206.823939,0.000000,0,1,0,0,7,36,9,10,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Aleppo STC,Ayala,14969206.823939,127.000000,0,1,0,0,36,68,14,10,end,

;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (planet),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Qataar,Aleppo,4500000000.000000,30.000000,0,1,0,0,0,8796624.652852,2,1,14,31,200,200,200,55,55,55,127,44,34,255,0,0,end,
;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (moon),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Jinaro,Qataar,400000000.000000,30.000000,0,1,0,0,0,1668725.378968,3,1,16,47,134,118,119,15,15,15,127,44,34,255,0,0,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Ore Processing,Jinaro,3337450.757935,0.000000,0,1,0,0,1,15,9,10,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Jinaro Refinery,Jinaro,3337450.757935,127.000000,0,1,0,0,1,15,9,10,end,
;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (moon),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Epper,Qataar,480000000.000000,60.000000,0,1,0,0,0,347377.502951,3,1,25,35,103,115,139,15,15,15,127,44,34,255,0,0,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Epper Manufacturing,Epper,694755.005901,0.000000,0,1,0,0,5,22,9,10,end,
