Center,emerald_sys_center,0,0,0,1,0,0,0,0,,,end,,,,,,,,,,,,,,,

;Star, name, parent, distance, rotation, elevation, magnitude, end,,,,,,,,,,,,,,,,,,,,
Star,Emerald Alpha,emerald_sys_center,0,0,0,5,end,,,,,,,,,,,,,,,,,,,,

;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (planet),"	Texture Type", Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end
Body,Ruby,Emerald Alpha,3000000000,0,0,1,0,0,0,1010010.071,2,1,18,6,200,200,200,55,55,55,127,44,34,255,0,0,end
;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (moon),"	Texture Type", Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end
Body,Blackstone,Ruby,400000000,0,0,1,0,0,0,266174.81,3,1,18,43,117,144,141,15,15,15,127,44,34,255,0,0,end
;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (moon),"	Texture Type", Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end
Body,Bloodstone,Ruby,480000000,30,0,1,0,0,0,264932.0963,3,1,5,51,135,125,115,15,15,15,127,44,34,255,0,0,end

;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (planet),"	Texture Type", Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end
Body,Sapphire,Emerald Alpha,4500000000,30,0,1,0,0,0,1119876.705,2,1,2,11,200,200,200,55,55,55,127,44,34,255,0,0,end
;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (moon),"	Texture Type", Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end
Body,Moonstone,Sapphire,400000000,30,0,1,0,0,0,254414.8446,3,1,5,54,122,105,100,15,15,15,127,44,34,255,0,0,end

;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (planet),"	Texture Type", Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end
Body,Emerald,Emerald Alpha,6750000000,60,0,1,0,0,0,1071291.238,2,1,56,56,200,200,200,55,55,55,127,44,34,255,0,0,end
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,,,,,,,,,,,,,,
Station,Emerald Beanstalk Orbital,Emerald,2142582.476,0,0,1,0,0,13,36,6,10,end,,,,,,,,,,,,,,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,,,,,,,,,,,,,,
Station,Emerald STC,Emerald,2142582.476,127,0,1,0,0,19,68,6,10,end,,,,,,,,,,,,,,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,,,,,,,,,,,,,,
Station,Emerald Defense Station,Emerald,2142582.476,254,0,1,0,0,20,71,7,10,end,,,,,,,,,,,,,,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,,,,,,,,,,,,,,
Station,Emerald Waystation Station,Emerald,2142582.476,21,0,1,0,0,21,36,6,10,end,,,,,,,,,,,,,,
;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (moon),"	Texture Type", Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end
Body,Pearl,Emerald,400000000,60,0,1,0,0,0,257557.6037,3,1,17,45,130,130,108,15,15,15,127,44,34,255,0,0,end
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,,,,,,,,,,,,,,
Station,Pearl Research Station,Pearl,515115.2074,0,0,1,0,0,13,40,6,10,end,,,,,,,,,,,,,,

;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (giant),"	Texture Type", Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end
Body,Jade,Emerald Alpha,10125000000,90,0,1,0,0,0,66413159.58,4,2,5,0,200,200,200,149,138,114,127,116,96,0,5,255,end
;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (moon),"	Texture Type", Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end
Body,Crystal,Jade,400000000,90,0,1,0,0,0,4387440.107,3,1,1,45,139,140,125,15,15,15,127,44,34,255,0,0,end
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,,,,,,,,,,,,,,
Station,Jade Manufacturing Station,Crystal,8774880.215,0,0,1,0,0,22,22,6,10,end,,,,,,,,,,,,,,
