lombard_center,"lombard"
Lombard,"Lombard"
Shapiro,"Shapiro"
Vogel,"Vogel"
Dunlop,"Dunlop"
Dorie,"Dorie"
Laswintha,"Laswintha"
Inner Belt,"Inner Belt"
Asteroid base,"Asteroid base"
Middle Belt,"Middle Belt"
Lombardi,"Lombardi"
Morel,"Morel"
Opaline,"Opaline"
Salvatore,"Salvatore"
Archer,"Archer"
Lombard Station,"Lombard Station"
Lombard STC,"Lombard STC"
Remy,"Remy"
Foreman,"Foreman"
Foreman Military Base,"Foreman Military Base"
Segal,"Segal"
Lombards Outer Belt,"Lombards Outer Belt"
Aikenites HQ,"Aikenites HQ"
Samarra,"Samarra"
Fallon,"Fallon"
Brammell,"Brammell"
Tappin,"Tappin"
Bentley,"Bentley"
Bentley CMC HQ,"Bentley CMC HQ"
Bentley Processing Facility,"Bentley Processing Facility"
Turner,"Turner"
Eisen,"Eisen"
Salvatore Lpoint,"Salvatore Lpoint"
Brammell,"Brammell"
