nureddin_center,"nureddin"
Nureddin,"Nureddin"
Cordoba,"Cordoba"
Barakka,"Barakka"
El Cid,"El Cid"
Drexen,"Drexen"
Olaf,"Olaf"
New Istanbul,"New Istanbul"
Nureddin STC Station,"Nureddin STC Station"
Jiddah,"Jiddah"
Nureddin System Defense Station,"Nureddin System Defense Station"
Clovis,"Clovis"
Gas mine,"Gas mine"
Clovis Fuel Processing Facility,"Clovis Fuel Processing Facility"
Ghiddrah,"Ghiddrah"
Mesa Corporation HQ Station,"Mesa Corporation HQ Station"
Vellus,"Vellus"
Tallus,"Tallus"
Autharia,"Autharia"
Nureddin Station,"Nureddin Station"
Nureddin Naval Shipyard,"Nureddin Naval Shipyard"
Security Station,"Security Station"
Thrasamund,"Thrasamund"
Asteroids,"Asteroids"
Asteroid Base,"Asteroid Base"
Drexen Lpoint,"Drexen Lpoint"
