Center,powys_center,0,0,0,1,0,0,0,0,,,end,

;Star, name, parent, distance, rotation, elevation, magnitude, end,
Star,Powys,powys_center,0,0,0,5,end,

;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (planet),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Gwynedd,Powys,3000000000.000000,0.000000,0,1,0,0,0,8585924.863430,2,1,24,6,200,200,200,55,55,55,127,44,34,255,0,0,end,
;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (moon),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Lloyd,Gwynedd,400000000.000000,0.000000,0,1,0,0,0,1444771.011656,3,1,16,51,141,136,134,15,15,15,127,44,34,255,0,0,end,
;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (moon),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Holmes,Gwynedd,480000000.000000,30.000000,0,1,0,0,0,1423414.110852,3,1,12,52,149,126,112,15,15,15,127,44,34,255,0,0,end,
;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (moon),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Glynn,Gwynedd,576000000.000000,60.000000,0,1,0,0,0,1387992.909518,3,1,21,46,147,128,113,15,15,15,127,44,34,255,0,0,end,

;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (planet),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Mabinogion,Powys,4500000000.000000,30.000000,0,1,0,0,0,5081423.383282,2,1,6,28,200,200,200,55,55,55,127,44,34,255,0,0,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Powys STC station,Mabinogion,10162846.766564,0.000000,0,1,0,0,36,68,1,10,end,
;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (moon),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Giddings,Mabinogion,400000000.000000,30.000000,0,1,0,0,0,423323.790333,3,1,4,48,134,127,131,15,15,15,127,44,34,255,0,0,end,

;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (planet),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Llywelyn,Powys,6750000000.000000,60.000000,0,1,0,0,0,8971678.823206,2,1,31,19,200,200,200,55,55,55,127,44,34,255,0,0,end,
;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (moon),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Gurnsey,Llywelyn,400000000.000000,60.000000,0,1,0,0,0,1274224.611521,3,1,16,33,141,144,127,15,15,15,127,44,34,255,0,0,end,
;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (moon),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Bigelow,Llywelyn,480000000.000000,90.000000,0,1,0,0,0,762173.126699,3,1,0,53,140,104,106,15,15,15,127,44,34,255,0,0,end,
;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (moon),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Wynn,Llywelyn,576000000.000000,120.000000,0,1,0,0,0,1952925.469000,3,1,12,49,103,116,100,15,15,15,127,44,34,255,0,0,end,
;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (moon),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Ennis,Llywelyn,691200000.000000,150.000000,0,1,0,0,0,399680.330698,3,1,11,32,111,128,137,15,15,15,127,44,34,255,0,0,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Ennis Processing Station,Ennis,799360.661396,0.000000,0,1,0,0,1,15,0,10,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Ennis Station,Ennis,799360.661396,127.000000,0,1,0,0,24,6,1,10,end,
;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (moon),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Calnan,Llywelyn,829440000.000000,180.000000,0,1,0,0,0,956860.952203,3,1,14,34,141,119,115,15,15,15,127,44,34,255,0,0,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Calnan Naval Works,Calnan,1913721.904405,0.000000,0,1,0,0,15,71,0,10,end,

;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (planet),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Gruffydd,Powys,10125000000.000000,90.000000,0,1,0,0,0,8474349.192785,2,1,19,18,200,200,200,55,55,55,127,44,34,255,0,0,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Gruffydd Medical Research Station,Gruffydd,16948698.385571,0.000000,0,1,0,0,3,51,0,10,end,
;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (moon),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Llynlea,Gruffydd,400000000.000000,90.000000,0,1,0,0,0,1880729.770172,3,1,18,37,116,111,131,15,15,15,127,44,34,255,0,0,end,
;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (moon),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Flindall,Gruffydd,480000000.000000,120.000000,0,1,0,0,0,1474701.096105,3,1,21,49,124,125,108,15,15,15,127,44,34,255,0,0,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Flindall Waystation Station,Flindall,2949402.192210,0.000000,0,1,0,0,7,36,0,10,end,
;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (moon),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Hammond,Gruffydd,576000000.000000,150.000000,0,1,0,0,0,1034570.575536,3,1,15,54,144,101,103,15,15,15,127,44,34,255,0,0,end,
Lpoint,Flindall Lpoint,Gruffydd,Flindall,0.500000,2,t_ang,huang,end,
