ripon_center,"ripon"
Ripon,"Ripon"
Paulus,"Paulus"
Nestor,"Nestor"
Obregon,"Obregon"
Cabron,"Cabron"
Felix,"Felix"
Kittredge,"Kittredge"
Bolivar,"Bolivar"
Hastings,"Hastings"
Gilmour,"Gilmour"
Albertus,"Albertus"
Ripon STC,"Ripon STC"
Monaghan,"Monaghan"
Carlotta,"Carlotta"
Wake,"Wake"
Ripon System Defense Station,"Ripon System Defense Station"
Weller,"Weller"
Stannor,"Stannor"
Morte Subite,"Morte Subite"
Alma,"Alma"
Alma agricultural orbital,"Alma agricultural orbital"
Alma Waystation Station,"Alma Waystation Station"
Grande Cailliou,"Grande Cailliou"
Daleena,"Daleena"
Maudite,"Maudite"
En Panne,"En Panne"
Putain,"Putain"
Salope,"Salope"
Roux-Lough,"Roux-Lough"
D Arcy,"D Arcy"
En Panne Lpoint,"En Panne Lpoint"
Grande Cailliou,"Grande Cailliou"
