Center,t_ang_center,0,0,0,1,0,0,0,0,,,end,

;Star, name, parent, distance, rotation, elevation, magnitude, end,
Star,T Ang,t_ang_center,0,0,0,5,end,

;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (planet),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Lavoisier,T Ang,3000000000.000000,0.000000,0,1,0,0,0,1740745.262001,2,1,12,10,200,200,200,55,55,55,127,44,34,255,0,0,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Lavoisier Sec,Lavoisier,3481490.524003,0.000000,0,1,0,0,7,36,33,10,end,
;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (moon),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Asseltine,Lavoisier,400000000.000000,0.000000,0,1,0,0,0,422645.392190,3,1,26,45,124,119,145,15,15,15,127,44,34,255,0,0,end,
;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (moon),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Grundy,Lavoisier,480000000.000000,30.000000,0,1,0,0,0,346659.491379,3,1,3,51,120,137,149,15,15,15,127,44,34,255,0,0,end,
;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (moon),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Quesnelle,Lavoisier,576000000.000000,60.000000,0,1,0,0,0,292375.774213,3,1,0,42,105,117,117,15,15,15,127,44,34,255,0,0,end,

;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (planet),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Ypres,T Ang,4500000000.000000,30.000000,0,1,0,0,0,8551744.132817,2,1,0,30,200,200,200,55,55,55,127,44,34,255,0,0,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,T?Ang STC station,Ypres,17103488.265633,0.000000,0,1,0,0,36,68,47,10,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Ypres Police,Ypres,17103488.265633,127.000000,0,1,0,0,10,54,6,10,end,
;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (moon),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Pynenburg,Ypres,400000000.000000,30.000000,0,1,0,0,0,1724879.805230,3,1,24,49,137,130,102,15,15,15,127,44,34,255,0,0,end,
