Center,xu_xuan_center,0,0,0,1,0,0,0,0,,,end,

;Star, name, parent, distance, rotation, elevation, magnitude, end,
Star,Xu Xuan,xu_xuan_center,0,0,0,5,end,
;Belt, name, parent, distance, rotation, elevation, field size, end,
Belt,The Great Wall Belt,Xu Xuan,3000000000.000000,0.000000,0,2500000.000000,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Asteroid Base,The Great Wall Belt,18000000.000000,0.000000,0,1,0,0,20,7,2,10,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Mining Outpost,The Great Wall Belt,18000000.000000,127.000000,0,1,0,0,24,6,2,10,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Processing Facility,The Great Wall Belt,18000000.000000,254.000000,0,1,0,0,1,15,2,10,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Manufacturing Station,The Great Wall Belt,18000000.000000,21.000000,0,1,0,0,5,22,2,10,end,

;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (planet),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Manchuria,Xu Xuan,4500000000.000000,30.000000,0,1,0,0,0,8528550.065615,2,1,23,23,200,200,200,55,55,55,127,44,34,255,0,0,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Imperial Biosciences Complex,Manchuria,17057100.131230,0.000000,0,1,0,0,6,40,3,10,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,System Defense Outpost,Manchuria,17057100.131230,127.000000,0,1,0,0,10,54,3,10,end,
;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (moon),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Holder,Manchuria,400000000.000000,30.000000,0,1,0,0,0,981613.682865,3,1,17,54,131,116,121,15,15,15,127,44,34,255,0,0,end,
;Belt, name, parent, distance, rotation, elevation, field size, end,
Belt,Manchurian Belt,Xu Xuan,6750000000.000000,60.000000,0,2500000.000000,end,

;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (planet),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Jin Gzhu,Xu Xuan,10125000000.000000,90.000000,0,1,0,0,0,6018707.846309,2,1,22,15,200,200,200,55,55,55,127,44,34,255,0,0,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Jin Gzhu Shipyard,Jin Gzhu,12037415.692618,0.000000,0,1,0,0,7,21,2,10,end,
;Belt, name, parent, distance, rotation, elevation, field size, end,
Belt,Jin Gzhu Belt,Xu Xuan,15187500000.000000,120.000000,0,2500000.000000,end,
;Belt, name, parent, distance, rotation, elevation, field size, end,
Belt,Long March Belt,Xu Xuan,22781250000.000000,150.000000,0,2500000.000000,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Imperial Naval Research Facility,Long March Belt,18000000.000000,150.000000,0,1,0,0,6,40,3,10,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Naval Finishing Shipyard,Long March Belt,18000000.000000,277.000000,0,1,0,0,15,71,3,10,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Naval Component Production Plant,Long March Belt,18000000.000000,44.000000,0,1,0,0,5,22,3,10,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Imperial Tactical Fighter Base,Long March Belt,18000000.000000,171.000000,0,1,0,0,15,71,3,10,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Sensor Outpost,Long March Belt,18000000.000000,298.000000,0,1,0,0,12,90,3,10,end,
Lpoint,Holder Lpoint,Manchuria,Holder,0.500000,4,li_po,tau_tsun,providence,bumpys_star,end,
