al_wadi_center,"al_wadi"
Al Wadi,"Al Wadi"
Belt of Power,"Belt of Power"
Belt of Riches,"Belt of Riches"
Asteroid Base 1,"Asteroid Base 1"
Asteroid Base 1,"Asteroid Base 1"
Asteroid Base 2,"Asteroid Base 2"
Asteroid Base 3,"Asteroid Base 3"
Kaffal Djoba,"Kaffal Djoba"
Rumi,"Rumi"
Belt of Great Wealth,"Belt of Great Wealth"
Asteroid Base 1,"Asteroid Base 1"
Asteroid Base 2,"Asteroid Base 2"
Common Ore Handling Station,"Common Ore Handling Station"
Common Ore Handling Station,"Common Ore Handling Station"
Khodaverdi,"Khodaverdi"
Adjaina,"Adjaina"
Al Paz,"Al Paz"
Califendi,"Califendi"
Al Galife,"Al Galife"
Guzman,"Guzman"
Guzman Mining Depot,"Guzman Mining Depot"
Laputo,"Laputo"
Omer Alfez,"Omer Alfez"
Omer Gas Depot,"Omer Gas Depot"
Pyette,"Pyette"
Qom,"Qom"
Zajowicz,"Zajowicz"
Igreja,"Igreja"
Maloufi,"Maloufi"
Al Wadi STC,"Al Wadi STC"
Al Wadi Naval Defense,"Al Wadi Naval Defense"
Al Wadi Governor,"Al Wadi Governor"
Maffindi,"Maffindi"
Ogenna,"Ogenna"
Ogenna Base,"Ogenna Base"
Neutronium Processing Facility,"Neutronium Processing Facility"
Hajela,"Hajela"
Jamirai,"Jamirai"
Al Paz Lpoint,"Al Paz Lpoint"
