aleppo_center,"aleppo"
Aleppo,"Aleppo"
Al Qilaal,"Al Qilaal"
Malil,"Malil"
Sarfati,"Sarfati"
Al Barran,"Al Barran"
Ayala,"Ayala"
Ayala Trade Depot,"Ayala Trade Depot"
Aleppo STC,"Aleppo STC"
Biomass Processing,"Biomass Processing"
Qataar,"Qataar"
Jinaro,"Jinaro"
Ore Processing,"Ore Processing"
Jinaro Refinery,"Jinaro Refinery"
Jinaro Refinery,"Jinaro Refinery"
Epper,"Epper"
Epper Manufacturing,"Epper Manufacturing"
Gurrola,"Gurrola"
Zafir Belt,"Zafir Belt"
Zafir Mining HQ,"Zafir Mining HQ"
Procopius,"Procopius"
Silani,"Silani"
Correa,"Correa"
Aleppo System Defense,"Aleppo System Defense"
Ompah,"Ompah"
Plevna,"Plevna"
Neri,"Neri"
Verrea,"Verrea"
Alladins Cave,"Alladins Cave"
Sarfati Lpoint,"Sarfati Lpoint"
