bumpys_star_center,"bumpys_star"
Bumpys,"Bumpys"
Pinetop,"Pinetop"
Perkins,"Perkins"
Keylime,"Keylime"
Keylime Refinery,"Keylime Refinery"
Jellyroll,"Jellyroll"
Sweet Sheila,"Sweet Sheila"
Lubecks Hole,"Lubecks Hole"
Goodboy,"Goodboy"
Sit,"Sit"
Stay,"Stay"
Rose Rock,"Rose Rock"
Woomera,"Woomera"
Woomera Station,"Woomera Station"
Woomera Station,"Woomera Station"
Woomera Leisure Station,"Woomera Leisure Station"
Woomera Outpost,"Woomera Outpost"
Dizzy,"Dizzy"
Three Bears,"Three Bears"
Blue Aggie,"Blue Aggie"
Dexters Dig,"Dexters Dig"
Lunchbox,"Lunchbox"
Lunchbox,"Lunchbox"
Letdown,"Letdown"
Redemption,"Redemption"
Shiny,"Shiny"
Magdalena Belt,"Magdalena Belt"
Asteroid Station,"Asteroid Station"
Ella,"Ella"
Jennys Beat,"Jennys Beat"
Hopkins Hazard,"Hopkins Hazard"
Jennys Lpoint,"Jennys Lpoint"
alcuin,"alcuin"
