emerald_sys_center,"emerald_sys"
Emerald Alpha,"Emerald Alpha"
Ruby,"Ruby"
Blackstone,"Blackstone"
Bloodstone,"Bloodstone"
Sapphire,"Sapphire"
Moonstone,"Moonstone"
Emerald,"Emerald"
Emerald Beanstalk Orbital,"Emerald Beanstalk Orbital"
Emerald STC,"Emerald STC"
Emerald Capitol,"Emerald Capitol"
Emerald Defense Station,"Emerald Defense Station"
Emerald Waystation Station,"Emerald Waystation Station"
Amethyst Transfer Station,"Amethyst Transfer Station"
Sapphire Transfer Station,"Sapphire Transfer Station"
Azran Exotic Metals Processing,"Azran Exotic Metals Processing"
Turquoise Transfer Station,"Turquoise Transfer Station"
Pearl,"Pearl"
Pearl Nanotech Factory,"Pearl Nanotech Factory"
Pearl Research Station,"Pearl Research Station"
Jade,"Jade"
Crystal,"Crystal"
Jade Manufacturing Station,"Jade Manufacturing Station"
Beryl,"Beryl"
Emerald Heavy Manufacturing,"Emerald Heavy Manufacturing"
Emerald Heavy Manufacturing,"Emerald Heavy Manufacturing"
Emerald Shipyard,"Emerald Shipyard"
Diamond,"Diamond"
Zircon,"Zircon"
Military Outpost,"Military Outpost"
Opal,"Opal"
MelNet FTL Relay,"MelNet FTL Relay"
Crystal Lpoint,"Crystal Lpoint"
bedalov,"bedalov"
Beryl Lpoint,"Beryl Lpoint"
