ivory_garden_center,"ivory_garden"
Al Quaan Alpha,"Al Quaan Alpha"
Obregon,"Obregon"
Soham,"Soham"
Manufacturing Station,"Manufacturing Station"
Manufacturing Station,"Manufacturing Station"
Soham Arms Production,"Soham Arms Production"
Ostir,"Ostir"
STC Station,"STC Station"
Processing Station,"Processing Station"
Processing Station,"Processing Station"
Faidi,"Faidi"
Ishai,"Ishai"
Security Station,"Security Station"
Military Garrison Station,"Military Garrison Station"
Military Weapons Facility,"Military Weapons Facility"
Al Quaan Governor,"Al Quaan Governor"
Naveen,"Naveen"
Naveen Agricultural Station,"Naveen Agricultural Station"
Aziz,"Aziz"
Soham Lpoint,"Soham Lpoint"
Ostir Lpoint,"Ostir Lpoint"
