kronholm_center,"kronholm"
Kronholm Alpha,"Kronholm Alpha"
Kogan,"Kogan"
Lamar,"Lamar"
Lamar Shipyard,"Lamar Shipyard"
Vernon?s Leap,"Vernon?s Leap"
Lundquist,"Lundquist"
Daiglish,"Daiglish"
Kronholm STC,"Kronholm STC"
Kronholm Waystation Station,"Kronholm Waystation Station"
Withnail,"Withnail"
Kronholm Station,"Kronholm Station"
Rochester,"Rochester"
Rochester Reactors Assembly,"Rochester Reactors Assembly"
Rochester Reactors Assembly,"Rochester Reactors Assembly"
Rochester Manufacturing,"Rochester Manufacturing"
Lundquist Systems Factory,"Lundquist Systems Factory"
Bartlett,"Bartlett"
Reardon,"Reardon"
Reardon Shipyard,"Reardon Shipyard"
System Defense Station,"System Defense Station"
Kronholm Government Center,"Kronholm Government Center"
Stibbe,"Stibbe"
Angevine,"Angevine"
Mudra,"Mudra"
Imperial Military Garrison,"Imperial Military Garrison"
Klepaki,"Klepaki"
Shiumi,"Shiumi"
Aoki,"Aoki"
Naval Outpost,"Naval Outpost"
Okahara,"Okahara"
Systems Manufacturing,"Systems Manufacturing"
Systems Manufacturing,"Systems Manufacturing"
Advanced Nano Facility A,"Advanced Nano Facility A"
Advanced Nano Facility B,"Advanced Nano Facility B"
Okahara Reactors Assembly,"Okahara Reactors Assembly"
Okahara Systems Factory,"Okahara Systems Factory"
Fukuoka,"Fukuoka"
MelNet FTL Relay,"MelNet FTL Relay"
Aoki Lpoint,"Aoki Lpoint"
watts,"watts"
Angevine Lpoint,"Angevine Lpoint"
