nisami_center,"nisami"
Nisami Alpha,"Nisami Alpha"
Hom,"Hom"
Noda,"Noda"
Mori,"Mori"
Gas Mining Outpost,"Gas Mining Outpost"
Gas Mining Outpost,"Gas Mining Outpost"
Gurkan,"Gurkan"
Wurts,"Wurts"
Bromley,"Bromley"
Markus Corporation HQ Station,"Markus Corporation HQ Station"
Nisami Senate,"Nisami Senate"
Ostergard,"Ostergard"
Markus Corp. Manufacturing Station,"Markus Corp. Manufacturing Station"
Odom,"Odom"
Travis,"Travis"
Odom Waystation Station,"Odom Waystation Station"
Biomass Processing Station,"Biomass Processing Station"
Biomass Processing Station,"Biomass Processing Station"
Gas Mining Outpost,"Gas Mining Outpost"
Dugald,"Dugald"
Sento,"Sento"
Markus Corp Research Labs,"Markus Corp Research Labs"
Yamagishi,"Yamagishi"
Shimizu,"Shimizu"
Shimizu Mines,"Shimizu Mines"
Suzuki,"Suzuki"
Noda Lpoint,"Noda Lpoint"
akra,"akra"
Dugald Lpoint,"Dugald Lpoint"
