nureddin_center,"nureddin"
Nureddin,"Nureddin"
Cordoba,"Cordoba"
Barakka,"Barakka"
El Cid,"El Cid"
Drexen,"Drexen"
Olaf,"Olaf"
New Istanbul,"New Istanbul"
Nureddin STC Station,"Nureddin STC Station"
Yehzid Food Processing,"Yehzid Food Processing"
Jiddah,"Jiddah"
Nureddin System Defense Station,"Nureddin System Defense Station"
Nureddin Centeral Government,"Nureddin Centeral Government"
Clovis,"Clovis"
Clovis Nano Fibre Production,"Clovis Nano Fibre Production"
Cordoba Advanced Materials Assembly,"Cordoba Advanced Materials Assembly"
Gas mine,"Gas mine"
Ghiddrah,"Ghiddrah"
Mesa Corporation HQ Station,"Mesa Corporation HQ Station"
Mesa Advanced Materials,"Mesa Advanced Materials"
Vellus,"Vellus"
Tallus,"Tallus"
Autharia,"Autharia"
Nureddin Station,"Nureddin Station"
Nureddin Naval Shipyard,"Nureddin Naval Shipyard"
Security Station,"Security Station"
Thrasamund,"Thrasamund"
Asteroids,"Asteroids"
Asteroid Base,"Asteroid Base"
Drexen Lpoint,"Drexen Lpoint"
saladin,"saladin"
