powys_center,"powys"
Powys Alpha,"Powys Alpha"
Gwynedd,"Gwynedd"
Lloyd,"Lloyd"
Holmes,"Holmes"
Glynn,"Glynn"
Mabinogion,"Mabinogion"
Powys STC station,"Powys STC station"
Powys Senate,"Powys Senate"
Giddings,"Giddings"
Llywelyn,"Llywelyn"
Gurnsey,"Gurnsey"
Bigelow,"Bigelow"
Wynn,"Wynn"
Ennis,"Ennis"
Ennis Processing Station,"Ennis Processing Station"
Ennis Processing Station,"Ennis Processing Station"
Ennis Station,"Ennis Station"
Ennis Station,"Ennis Station"
Calnan,"Calnan"
Calnan Naval Works,"Calnan Naval Works"
Gruffydd,"Gruffydd"
Gruffydd Medical Research Station,"Gruffydd Medical Research Station"
Gruffydd Medical Production,"Gruffydd Medical Production"
Llynlea,"Llynlea"
Flindall,"Flindall"
Flindall Waystation Station,"Flindall Waystation Station"
Hammond,"Hammond"
Flindall Lpoint,"Flindall Lpoint"
