xu_xuan_center,"xu_xuan"
Xu Xuan Alpha,"Xu Xuan Alpha"
The Great Wall Belt,"The Great Wall Belt"
Asteroid Base,"Asteroid Base"
Asteroid Base,"Asteroid Base"
Mining Outpost,"Mining Outpost"
Processing Facility,"Processing Facility"
Processing Facility,"Processing Facility"
Nanoscience Facility,"Nanoscience Facility"
Manufacturing Station,"Manufacturing Station"
Manchuria,"Manchuria"
Imperial Biosciences Complex,"Imperial Biosciences Complex"
System Defense Outpost,"System Defense Outpost"
Imperial Governor,"Imperial Governor"
Holder,"Holder"
Yellow Flower,"Yellow Flower"
Manchurian Belt,"Manchurian Belt"
Jin Gzhu,"Jin Gzhu"
Jin Gzhu Shipyard,"Jin Gzhu Shipyard"
Tian Liang Reactor Assembly,"Tian Liang Reactor Assembly"
Jin Systems Factory,"Jin Systems Factory"
Jin Gzhu Belt,"Jin Gzhu Belt"
Imperial Weapons Facility,"Imperial Weapons Facility"
Dragons Palace,"Dragons Palace"
Dragons Palace,"Dragons Palace"
Long March Belt,"Long March Belt"
Imperial Naval Research Facility,"Imperial Naval Research Facility"
Naval Finishing Shipyard,"Naval Finishing Shipyard"
Naval Component Production Plant,"Naval Component Production Plant"
Imperial Tactical Fighter Base,"Imperial Tactical Fighter Base"
Sensor Outpost,"Sensor Outpost"
Holder Lpoint,"Holder Lpoint"
