;Texture Setup Data,,
RockyTextureCount,14,
RockyTwoTextureCount,8,
BlackPlanetTexture,34,

GiantTextureCount,8,

;Emerald Alliance,,

Center,emerald_sys,
Star,Emerald Alpha,5

Planet,Ruby,
Moon,Blackstone,
Moon,Bloodstone,
Planet,Sapphire,
Moon,Moonstone,,,
SpecialPlanetTexture,22,,,
SpecialPlanetBump,23,,,
Planet,Emerald,,,
Station,Emerald Beanstalk Orbital,Waystation,EmeraldCitizens,ok
Station,Emerald STC,PoliceBase,AllianceNavy,ok
Station,Emerald Capitol ,ClusterAdmin,AllianceNavy,ok
Station,Emerald Defense Station,DefenseDock,AllianceNavy,ok
Station,Emerald Waystation Station,Waystation,EmeraldCitizens,ok
Station,Amethyst Transfer Station,Transfer,EmeraldCitizens,ok
Station,Sapphire Transfer Station,Transfer,EmeraldCitizens,ok
Station,Azran Exotic Metals Processing,ExoticMetalsProc,Azran,ok
Station,Turquoise Transfer Station,Transfer,EmeraldCitizens,ok
Moon,Pearl,,,
Station,Pearl Nanotech Factory,HiTechMan,EmeraldCitizens,ok
Station,Pearl Research Station,Research,EmeraldCitizens,ok
Giant,Jade,,,,,
Moon,Crystal,,,,,
Station,Jade Manufacturing Station,HeavyMan,EmeraldCitizens,ok,,
Moon,Beryl,,,,,
Station,Emerald Heavy Manufacturing,HeavyMan,EmeraldCitizens,ok,,
Operation,Embezzle,Pimental,ok,,,
Station,Emerald Shipyard,Shipyard,EmeraldCitizens,ok,,
Planet,Diamond,,,,,
Moon,Zircon,,,,,
Station,Military Outpost,DefenseDock,AllianceNavy,ok,,
Moon,Opal,,,,,
Station,MelNet FTL Relay,FTLArray,Markus,ok,,
Lpoint,Crystal Lpoint,Jade,Crystal,2,huang,bedalov
Operation,Fleetdefense,AllianceNavy,,,,
Lpoint,Beryl Lpoint,Jade,Beryl,2,penda,providence


Center,providence,,,
Star,Providence Alpha,5,,

Planet,Palermo,,,

Moon,Musetta,,,
Moon,DeMarlo,,,
Moon,Garrabrant,,,
Planet,Edgewater,,,
Moon,Ward,,,
Station,Edgewater Waystation Station,Waystation,EmeraldCitizens,ok
Moon,Ruppert,,,
Station,Providence STC,PoliceBase,AllianceNavy,ok
Station,Providence Senate,SystemAdmin,AllianceNavy,ok
Planet,Roessner,,,
Moon,Vander,,,,,,
Station,Providence Medical Complex,Medical,EmeraldCitizens,ok,,,
Station,Providence Medical Production,PharmaceuticalsMan,EmeraldCitizens,ok,,,
Operation,Embezzle,Pimental,ok,,,,
Moon,Fritz,,,,,,
Moon,Denker,,,,,,
Moon,Ritter,,,,,,
Moon,Gertner,,,,,,

Planet,Dufferin,,,,,,

Moon,Lewis,,,,,,
Station,Barkers Marker,DefenseDock,AllianceNavy,ok,,,
Station,MelNet FTL Relay Station,FTLArray,Markus,ok,,,

Lpoint,Lewis Lpoint,Dufferin,Lewis,3,li_po,xu_xuan,emerald_sys
Operation,CustomsToll,AllianceNavy,,
Lpoint,Vander Lpoint,Roessner,Vander,0


Center,penda,,,
Star,Penda Alpha,5,,

Planet,New Luzon,,,
Moon,Strang,,,
Moon,Movalas,,,
Station,Mining outpost,CommonMetalsMine,EmeraldCitizens,ok
Moon,Kulas,,,
Moon,Shekar,,,
Planet,Mindanayo,,,
Moon,Andsager,,,
Station,Penda STC,PoliceBase,AllianceNavy,ok
Station,Penda System Defense Station,DefenseDock,AllianceNavy,ok
Station,Penda Senate,SystemAdmin,AllianceNavy,ok
Moon,Baranec,,,
Moon,Pimental,,,
Station,Pimental Family HQ,PirateBase,Pimental,ok
Station,Pimental Ship Base,PirateCove,Pimental,ok
Planet,Nando,,,
Moon,Schumacher,,,
Station,Penda Military Outpost,DefenseDock,AllianceNavy,ok
Moon,Nandini,,,
Moon,Nalinas,,,
Station,Nalinas Processing Facility,CommonMetalsProc,EmeraldCitizens,ok
Operation,Embezzle,Pimental,ok,

Moon,Bernal,,,
Belt,Belt of Malacca,,,
Planet,San Marcos,,,,,
Moon,Einoco,,,,,
Station,MelNet FTL Relay,FTLArray,Markus,ok,,
Lpoint,Nandini Lpoint,Nando,Nandini,2,emerald_sys,epitaph
Operation,Fleetdefense,AllianceNavy,,,,
Lpoint,Kulas Lpoint,New Luzon,Kulas,0,,


Center,huang,,,,,
Star,Huang Alpha,5,,,,

Planet,Lin,,,,,
Moon,Long,,,,,
Moon,Lou,,,,,
Station,Yong Yuan Factory,CommonMetalsProc,EmeraldCitizens,ok,,
Moon,Lai,,,,,
Moon,Lung,,,
Station,Feichang Hao Nano Production,CommonMetalsProc,EmeraldCitizens,ok
Operation,Embezzle,Pimental,ok,
Station,Chao Yun Nano Materials,CommonMetalsProc,EmeraldCitizens,ok
Station,Lung Fuel Refinery,FusionableGasesProc,EmeraldCitizens,ok
Moon,Lan,,,
Station,Huang Waystation Station,Waystation,EmeraldCitizens,ok
Planet,Tong,,,
Moon,Yee,,,
Station,Yee Entertainment,Resort,EmeraldCitizens,ok
Station,Tong Station,Waystation,EmeraldCitizens,ok
Moon,Liang,,,
Station,Jump Gate Admin,CentralHQ,AllianceNavy,ok
Planet,Chu Xien,,,
Moon,Ko Shiu,,,
Station,Huang Senate,SystemAdmin,AllianceNavy,ok
Station,Huang STC,PoliceBase,AllianceNavy,ok,,
Moon,Lieh,,,,,
Moon,Yeung Jun,,,,,
Station,Mining Outpost,CommonMetalsMine,EmeraldCitizens,ok,,
Station,Yeung Fuel Refinery,FusionableGasesProc,EmeraldCitizens,ok,,
Station,Gao Li Element Refinery,CommonMetalsProc,EmeraldCitizens,ok,,
Moon,Yan,,,,,
Moon,Pang,,,,,
Station,Pang ElementRefinery,CommonMetalsProc,EmeraldCitizens,ok,,
Operation,Embezzle,Scavengers,ok,,,
Moon,Kong,,,,,
Lpoint,Ko Shiu Lpoint,Chu Xien,Ko Shiu,2,emerald_sys,bedalov
Lpoint,Lai Lpoint,Lin,Lai,2,powys,t_ang
Operation,Fleetdefense,AllianceNavy,,,,

; Sultanate,,,,,,
Center,new_const,,,
Star,Tulinid,5,,


Giant,Al Battani,,,
Moon,Accolus,,,
Moon,Aurius  ,,,
Moon,Carolus,,,
Moon,Djibouti,,,
Station,Battani Sation,Waystation,SultanateCitizens,ok
Moon,Leolius,,,
Station,Marius Base,DefenseDock,RoyalGuard,ok
Moon,Olalius,,,
Moon,Singulus ,,,
Moon,Trochlius ,,,
SpecialPlanetTexture,32,,,
SpecialPlanetBump,33,,,
Planet,Aljaya,,,
Station,Aljaya Robotics Facility,WetwareMan,SultanateCitizens,ok
Station,Aljaya Reactors Production,FusionReactorsMan,SultanateCitizens,ok
Operation,Embezzle,Forty,ok,
Moon,Mariq,,,
Moon,Tariq,,,
Station,Manufacturing Station,HeavyMan,SultanateCitizens,ok
Giant,Antara,,,
Moon,Akbar,,,
Moon,Biralla,,,
Moon,Ibrahim,,,
Moon,Joaqim,,,
Moon,Omar,,,
Moon,Raballa,,,
Giant,Ashalla,,,
Moon,Harsha,,,
Moon,Hira,,,
Planet,Dramhin,,,
Planet,Eva Cara,,,
Station,Waystation Station,Waystation,SultanateCitizens,ok
Giant,Ibn Abi R abia,,,
Moon,Harun,,,
Moon,Muhammed,,,
Planet,Kasim,,,
Station,Kasim Station,Waystation,SultanateCitizens,ok
Moon,Cindra,,,
SpecialPlanetTexture,28,,,
SpecialPlanetBump,29,,,
Planet,New Constantinople,,,
Station,Palace,ClusterAdmin,RoyalGuard,ok
Moon,Idris,,,
Station,The Mustapha Institute,Habitat,SultanateCitizens,ok
Station,Idris Food Processing,BiologicalMan,SultanateCitizens,ok
Moon,Iona,,,
Station,Pashasan Systems Manufacturing,WetwareMan,SultanateCitizens,ok
Station,Iona Electronics Manufacturing,ElectronicsMan,SultanateCitizens,ok
Station,New Constantinople STC,PoliceBase,RoyalGuard,ok
Station,New Constantinople Trade Bureau HQ,CentralHQ,SultanateCitizens,ok
Giant,Sirocco,,,
Moon,Brophius,,,
Moon,Eimskip,,,
Moon,Gruner,,,
Moon,Jazeel,,,
Station,Jazeel Naval Shipyard,DefenseDock,RoyalGuard,ok
Station,Jazeel Mercenary,MercenaryBase,Angels,ok
Moon,Ludmilla,,,
Moon,Matella,,,
Moon,Naleema ,,,,,,
Moon,Occam,,,,,,
Moon,Omalla,,,,,,
Moon,Pasha,,,,,,
Moon,Rula,,,,,,
Moon,Suleyman,,,,,,
