emerald_sys_center,"emerald_sys"
Emerald Alpha,"Emerald Alpha"
Ruby,"Ruby"
Sapphire,"Sapphire"
SmallMines,"SmallMines"
WaterMine,"WaterMine"
CommonMetals,"CommonMetals"
OrganicsMine,"OrganicsMine"
InOrganicsMine,"InOrganicsMine"
BiomassMine,"BiomassMine"
RareMetalsMine,"RareMetalsMine"
ExoticMetalsMine,"ExoticMetalsMine"
RadioactivesMine,"RadioactivesMine"
FusionableGasesMine,"FusionableGasesMine"
NeutroniumMine,"NeutroniumMine"
BuildingWaterMine,"BuildingWaterMine"
SmallMoon,"SmallMoon"
SmallMinesLpoint,"SmallMinesLpoint"
LargeMines,"LargeMines"
WaterMineLarge,"WaterMineLarge"
CommonMetalsLarge,"CommonMetalsLarge"
OrganicsMineLarge,"OrganicsMineLarge"
InorganicsMineLarge,"InorganicsMineLarge"
BiomassMineLarge,"BiomassMineLarge"
RareMetalsMineLarge,"RareMetalsMineLarge"
ExoticMetalsMineLarge,"ExoticMetalsMineLarge"
RadioactivesMineLarge,"RadioactivesMineLarge"
FusionableGasesMineLarge,"FusionableGasesMineLarge"
NeutroniumMineLarge,"NeutroniumMineLarge"
BuildingWaterLarge,"BuildingWaterLarge"
Processing,"Processing"
WaterProc,"WaterProc"
OrganicsProc,"OrganicsProc"
InorganicsProc,"InorganicsProc"
BiomassProc,"BiomassProc"
CommonMetalsProc,"CommonMetalsProc"
ExoticMetalsProc,"ExoticMetalsProc"
RadioactivesProc,"RadioactivesProc"
FusionableGasesProc,"FusionableGasesProc"
NeutroniumProc,"NeutroniumProc"
Manufacture,"Manufacture"
HeavyMan,"HeavyMan"
BiologicalMan,"BiologicalMan"
WetwareMan,"WetwareMan"
HiTechMan,"HiTechMan"
ElectronicsMan,"ElectronicsMan"
WeaponsMan,"WeaponsMan"
PharmaceuticalsMan,"PharmaceuticalsMan"
PlasticsMan,"PlasticsMan"
FusionReactorsMan,"FusionReactorsMan"
EnergyCellsMan,"EnergyCellsMan"
StationFabricationMan,"StationFabricationMan"
LuxuriesMan,"LuxuriesMan"
Civilian,"Civilian"
Shipyard,"Shipyard"
Waystation,"Waystation"
Research,"Research"
CentralHQ,"CentralHQ"
AgSettlement,"AgSettlement"
Resort,"Resort"
Medical,"Medical"
SecurityStation,"SecurityStation"
MercenaryBase,"MercenaryBase"
Fortress mercenary,"Fortress mercenary"
Entertainment,"Entertainment"
Casino,"Casino"
Settlement,"Settlement"
Habitat with spewer,"Habitat with spewer"
Habitat,"Habitat"
Transfer,"Transfer"
Beanstalk,"Beanstalk"
Government,"Government"
PoliceBase,"PoliceBase"
SystemDefenseDock,"SystemDefenseDock"
Cluster Admin,"Cluster Admin"
Regional Department,"Regional Department"
SystemA,"SystemA"
Pirates,"Pirates"
Outpost,"Outpost"
FTLArray,"FTLArray"
PirateBase,"PirateBase"
PirateCove,"PirateCove"
PirateOutpost,"PirateOutpost"
BlackMarket,"BlackMarket"
Gangster Hideout,"Gangster Hideout"
Hideout,"Hideout"
