kronholm_center,"kronholm"
Kronholm,"Kronholm"
Kogan,"Kogan"
Lamar,"Lamar"
Lamar Shipyard,"Lamar Shipyard"
Vernon?s Leap,"Vernon?s Leap"
Lundquist,"Lundquist"
Daiglish,"Daiglish"
Kronholm STC,"Kronholm STC"
Kronholm Transfer Station,"Kronholm Transfer Station"
Withnail,"Withnail"
Kronholm Station,"Kronholm Station"
Rochester,"Rochester"
Rochester Manufacturing,"Rochester Manufacturing"
Bartlett,"Bartlett"
Reardon,"Reardon"
Reardon Shipyard,"Reardon Shipyard"
System Defense Station,"System Defense Station"
Stibbe,"Stibbe"
Angevine,"Angevine"
Mudra,"Mudra"
Imperial Military Garrison,"Imperial Military Garrison"
Klepaki,"Klepaki"
Shiumi,"Shiumi"
Aoki,"Aoki"
Naval Outpost,"Naval Outpost"
Okahara,"Okahara"
Mining Facility,"Mining Facility"
Fukuoka,"Fukuoka"
MelNet FTL Relay,"MelNet FTL Relay"
Aoki Lpoint,"Aoki Lpoint"
Angevine Lpoint,"Angevine Lpoint"
