powys_center,"powys"
Powys,"Powys"
Gwynedd,"Gwynedd"
Lloyd,"Lloyd"
Holmes,"Holmes"
Glynn,"Glynn"
Mabinogion,"Mabinogion"
Powys STC station,"Powys STC station"
Giddings,"Giddings"
Llywelyn,"Llywelyn"
Gurnsey,"Gurnsey"
Bigelow,"Bigelow"
Wynn,"Wynn"
Ennis,"Ennis"
Ennis Processing Station,"Ennis Processing Station"
Ennis Station,"Ennis Station"
Calnan,"Calnan"
Calnan Naval Works,"Calnan Naval Works"
Gruffydd,"Gruffydd"
Gruffydd Medical Research Station,"Gruffydd Medical Research Station"
Llynlea,"Llynlea"
Flindall,"Flindall"
Flindall Transfer Station,"Flindall Transfer Station"
Hammond,"Hammond"
Flindall Lpoint,"Flindall Lpoint"
