penda_center,"penda"
Penda Alpha,"Penda Alpha"
New Luzon,"New Luzon"
Strang,"Strang"
Movalas,"Movalas"
Mining outpost,"Mining outpost"
Kulas,"Kulas"
Shekar,"Shekar"
Mindanayo,"Mindanayo"
Andsager,"Andsager"
Penda STC,"Penda STC"
Penda System Defense Station,"Penda System Defense Station"
Baranec,"Baranec"
Pimental,"Pimental"
Pimental Family HQ,"Pimental Family HQ"
Pimental Defense Station,"Pimental Defense Station"
Nando,"Nando"
Schumacher,"Schumacher"
Penda Military Outpost,"Penda Military Outpost"
Nandini,"Nandini"
Nalinas,"Nalinas"
Nalinas Processing Facility,"Nalinas Processing Facility"
Bernal,"Bernal"
Belt of Malacca,"Belt of Malacca"
San Marcos,"San Marcos"
Einoco,"Einoco"
MelNet FTL Relay,"MelNet FTL Relay"
Nandini Lpoint,"Nandini Lpoint"
Kulas Lpoint,"Kulas Lpoint"
