xu_xuan_center,"xu_xuan"
Xu Xuan,"Xu Xuan"
The Great Wall Belt,"The Great Wall Belt"
Asteroid Base,"Asteroid Base"
Mining Outpost,"Mining Outpost"
Processing Facility,"Processing Facility"
Manufacturing Station,"Manufacturing Station"
Manchuria,"Manchuria"
Imperial Biosciences Complex,"Imperial Biosciences Complex"
System Defense Outpost,"System Defense Outpost"
Holder,"Holder"
Manchurian Belt,"Manchurian Belt"
Jin Gzhu,"Jin Gzhu"
Jin Gzhu Shipyard,"Jin Gzhu Shipyard"
Jin Gzhu Belt,"Jin Gzhu Belt"
Long March Belt,"Long March Belt"
Imperial Naval Research Facility,"Imperial Naval Research Facility"
Naval Finishing Shipyard,"Naval Finishing Shipyard"
Naval Component Production Plant,"Naval Component Production Plant"
Imperial Tactical Fighter Base,"Imperial Tactical Fighter Base"
Sensor Outpost,"Sensor Outpost"
Holder Lpoint,"Holder Lpoint"
