sultanate,Sultanate of Khalilistan
map:/geog/middle/aleppo,Aleppo
map:/geog/middle/al_wadi,Al Wadi        
map:/geog/middle/al_quaan,Al Quaan  
map:/geog/middle/tulunid,Tulunid  
    ,
caliphate,Caliphate of Yezhid
map:/geog/middle/saladin,Saladin        
map:/geog/middle/nureddin,Nureddin 
      ,
barrens,The Barrens
map:/geog/middle/hant,Hant           
map:/geog/middle/akra,Akra           
map:/geog/middle/epitaph,Epitaph        
map:/geog/middle/lombard,Lombard        
map:/geog/middle/ripon,Ripon 
         ,
corliss_cong,Corliss Conglomerate
map:/geog/middle/nisami,Nisami         
map:/geog/middle/corliss,Corliss 
       ,
cmc_watts,Consolidated Mining Corporation
map:/geog/middle/watts,Watts 
         ,
leung_empire,Leung Empire
map:/geog/middle/kronholm,Kronholm       
map:/geog/middle/li_po,Li Po          
map:/geog/middle/tau_tsun,Tau Tsun       
map:/geog/middle/xu_xuan,Xu Xuan 
       ,
emerald_alliance,Emerald Alliance
map:/geog/middle/providence,Providence     
map:/geog/middle/emerald_sys,Emerald    
map:/geog/middle/penda,Penda          
map:/geog/middle/huang,Huang

dead_reaches,The Dead Reaches          
map:/geog/middle/bumpys_star,Bumpy's Star    
map:/geog/middle/alcuin,Alcuin         
map:/geog/middle/bedalov,Bedalov        
map:/geog/middle/powys,Powys          
map:/geog/middle/t_ang,T'Ang  
map:/geog/middle/x472,X472
map:/geog/middle/hd3479,HD3479
map:/geog/middle/hd3887,HD3887
map:/geog/middle/hd2271,HD2271
map:/geog/middle/al42217,AL42217
map:/geog/middle/al43844,AL43844
map:/geog/middle/hd4045,HD4045
map:/geog/middle/x788,X788
map:/geog/middle/al40064,AL40064
map:/geog/middle/al43551,AL43551
map:/geog/middle/al43665,AL43665
