akra_center,"akra"
Akra Alpha,"Akra Alpha"
Recared,"Recared"
Shahar,"Shahar"
Zettel,"Zettel"
Zettel Minerals Mine,"Zettel Minerals Mine"
Nomad,"Nomad"
Gundobad,"Gundobad"
Trinidad,"Trinidad"
Trinidad Base,"Trinidad Base"
Brentano,"Brentano"
Foundation HQ,"Foundation HQ"
Pollard,"Pollard"
Akra STC,"Akra STC"
Espirito Santo,"Espirito Santo"
Stahl,"Stahl"
CMC Mining Outpost,"CMC Mining Outpost"
Stahl Asteroid Outpost,"Stahl Asteroid Outpost"
CMC Security Station,"CMC Security Station"
CMC Akra Storage,"CMC Akra Storage"
Hevesi,"Hevesi"
Hevesi Station,"Hevesi Station"
Surya Dava,"Surya Dava"
Surya Grande,"Surya Grande"
Surya Pocito,"Surya Pocito"
Akra Governor,"Akra Governor"
Varley,"Varley"
Varley Asteroid Cluster,"Varley Asteroid Cluster"
Wyndham,"Wyndham"
Margate,"Margate"
Williams,"Williams"
Powell,"Powell"
Wrecked Waystation Station,"Wrecked Waystation Station"
Umberto,"Umberto"
Umberto Asteroid Base,"Umberto Asteroid Base"
Umberto Grande,"Umberto Grande"
Placentia,"Placentia"
New Adelaide,"New Adelaide"
New Adelaide processing Facility,"New Adelaide processing Facility"
Clark,"Clark"
Todd,"Todd"
Clayton,"Clayton"
Brown,"Brown"
Kuniper Belt,"Kuniper Belt"
The Imps Nest,"The Imps Nest"
Powell Lpoint,"Powell Lpoint"
Brown Lpoint,"Brown Lpoint"
Umberto Lpoint,"Umberto Lpoint"
Todd Lpoint,"Todd Lpoint"
