al43844_center,"al43844"
AL43844,"AL43844"
BeltA,"BeltA"
Raeeq Asteroid Zone,"Raeeq Asteroid Zone"
Noodeerah Asteroid Zone,"Noodeerah Asteroid Zone"
Raneem Asteroid Zone,"Raneem Asteroid Zone"
Bufeer Asteroid Zone,"Bufeer Asteroid Zone"
Yoosef Asteroid Zone,"Yoosef Asteroid Zone"
Thaleem Asteroid Zone,"Thaleem Asteroid Zone"
Mumtah Asteroid Zone,"Mumtah Asteroid Zone"
Shaghmeen Asteroid Zone,"Shaghmeen Asteroid Zone"
Wahmer Asteroid Zone,"Wahmer Asteroid Zone"
GasA Zurisrah,"GasA Zurisrah"
MoonA Saneem,"MoonA Saneem"
Saneem Asteroid Cluster,"Saneem Asteroid Cluster"
MoonB Quheer,"MoonB Quheer"
Quheer Asteroid Cluster,"Quheer Asteroid Cluster"
MoonC Shafeer,"MoonC Shafeer"
Shafeer Asteroid Cluster,"Shafeer Asteroid Cluster"
MoonD Akhteeq,"MoonD Akhteeq"
Akhteeq Asteroid Cluster,"Akhteeq Asteroid Cluster"
MoonE Riqq,"MoonE Riqq"
Riqq Asteroid Cluster,"Riqq Asteroid Cluster"
MoonF Bileesah,"MoonF Bileesah"
MoonG Noomah,"MoonG Noomah"
MoonH Ahteeq,"MoonH Ahteeq"
Ahteeq Asteroid Cluster,"Ahteeq Asteroid Cluster"
MoonI Imeelam,"MoonI Imeelam"
Imeelam Asteroid Cluster,"Imeelam Asteroid Cluster"
MoonJ Itee,"MoonJ Itee"
Itee Asteroid Cluster Alpha,"Itee Asteroid Cluster Alpha"
Itee Asteroid Cluster Beta,"Itee Asteroid Cluster Beta"
MoonK Sateer,"MoonK Sateer"
MoonL Risnah,"MoonL Risnah"
Risnah Asteroid Cluster,"Risnah Asteroid Cluster"
MoonM Raddeel,"MoonM Raddeel"
Raddeel Asteroid Cluster,"Raddeel Asteroid Cluster"
MoonO Shunaid,"MoonO Shunaid"
MoonO Shunaid Lpoint,"MoonO Shunaid Lpoint"
MoonK Sateer Lpoint,"MoonK Sateer Lpoint"
