al_wadi_center,"al_wadi"
Al Wadi,"Al Wadi"
Belt of Power,"Belt of Power"
Jazeed Asteroid Zone,"Jazeed Asteroid Zone"
Zeerah Asteroid Zone,"Zeerah Asteroid Zone"
Arsidus Asteroid Zone,"Arsidus Asteroid Zone"
Belt of Riches,"Belt of Riches"
Thaah Asteroid Zone,"Thaah Asteroid Zone"
Hareeb Asteroid Zone,"Hareeb Asteroid Zone"
Nares Asteroid Zone,"Nares Asteroid Zone"
Uvates Asteroid Zone,"Uvates Asteroid Zone"
Itha Asteroid Zone,"Itha Asteroid Zone"
Shabel Asteroid Zone,"Shabel Asteroid Zone"
Kaffal Djoba,"Kaffal Djoba"
Rumi,"Rumi"
Belt of Great Wealth,"Belt of Great Wealth"
Akeem Asteroid Zone,"Akeem Asteroid Zone"
Qudeenah Asteroid Zone,"Qudeenah Asteroid Zone"
Adonos Asteroid Zone,"Adonos Asteroid Zone"
Daonos Asteroid Zone,"Daonos Asteroid Zone"
Endanos Asteroid Zone,"Endanos Asteroid Zone"
Ennaros Asteroid Zone,"Ennaros Asteroid Zone"
Al Amaaros Asteroid Zone,"Al Amaaros Asteroid Zone"
Khodaverdi,"Khodaverdi"
Adjaina,"Adjaina"
Al Paz,"Al Paz"
Al Paz Asteroid Cluster,"Al Paz Asteroid Cluster"
Califendi,"Califendi"
Califendi Asteroid Cluster,"Califendi Asteroid Cluster"
Al Galife,"Al Galife"
Guzman,"Guzman"
Guzman Asteroid Cluster,"Guzman Asteroid Cluster"
Laputo,"Laputo"
Omer Alfez,"Omer Alfez"
Omer Asteroid Cluster,"Omer Asteroid Cluster"
Pyette,"Pyette"
Pyette Asteroid Cluster,"Pyette Asteroid Cluster"
Qom,"Qom"
Qom Asteroid Cluster,"Qom Asteroid Cluster"
Zajowicz,"Zajowicz"
Igreja,"Igreja"
Maloufi,"Maloufi"
Al Wadi STC,"Al Wadi STC"
Al Wadi Naval Defense,"Al Wadi Naval Defense"
Al Wadi Governor,"Al Wadi Governor"
Maffindi,"Maffindi"
Ogenna,"Ogenna"
Ogenna Base,"Ogenna Base"
Neutronium Processing Facility,"Neutronium Processing Facility"
Common Ore Handling Station,"Common Ore Handling Station"
Hajela,"Hajela"
Jamirai,"Jamirai"
Heaven,"Heaven"
Al Paz Lpoint,"Al Paz Lpoint"
Laputo Lpoint,"Laputo Lpoint"
Qom Lpoint,"Qom Lpoint"
