Center,alcuin_center,0,0,0,1,0,0,0,0,,,end,

;Star, name, parent, distance, rotation, elevation, magnitude, end,
Star,Alcuin Alpha,alcuin_center,0,0,0,5,end,

;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (planet),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Danforth,Alcuin Alpha,3000000000.000000,0.000000,0,1,0,0,0,7559526.352733,2,1,5,4,200,200,200,55,55,55,127,44,34,255,0,0,end,
;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (moon),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Stohl,Danforth,400000000.000000,0.000000,0,1,0,0,0,1657186.998287,3,1,9,21,145,113,138,15,15,15,127,44,34,255,0,0,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Stohl Common Metals Mine,Stohl,6628747.993149,0.000000,0,1,0,0,47,6,31,4,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Imperial Mining Security,Stohl,6628747.993149,127.000000,0,1,0,0,15,54,31,4,end,
;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (moon),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Miehl,Danforth,480000000.000000,150.000000,0,1,0,0,0,2105638.309155,3,1,13,21,132,102,113,15,15,15,127,44,34,255,0,0,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Wyvern Watch,Miehl,8422553.236621,0.000000,0,1,0,0,15,60,52,4,end,
;Belt, name, parent, distance, rotation, elevation, field size, end,
Belt,McKeown Belt,Alcuin Alpha,4500000000.000000,140.000000,0,40000000.000000,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Common Metals Mine One,McKeown Belt,18000000.000000,140.000000,0,1,0,0,47,6,27,4,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Common Metals Mine Two,McKeown Belt,18000000.000000,267.000000,0,1,0,0,47,6,27,4,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Rare Metals Mine,McKeown Belt,18000000.000000,34.000000,0,1,0,0,48,7,27,4,end,

;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (planet),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Toffelmeyer,Alcuin Alpha,6750000000.000000,280.000000,0,1,0,0,0,3309152.500992,2,1,11,3,200,200,200,55,55,55,127,44,34,255,0,0,end,
