aleppo_center,"aleppo"
Aleppo,"Aleppo"
Al Qilaal,"Al Qilaal"
Malil,"Malil"
Sarfati,"Sarfati"
Al Barran,"Al Barran"
Ayala,"Ayala"
Ayala Trade Depot,"Ayala Trade Depot"
Aleppo STC,"Aleppo STC"
Aleppo Governor,"Aleppo Governor"
Minerals Processing,"Minerals Processing"
Qataar,"Qataar"
Jinaro,"Jinaro"
Ore Processing,"Ore Processing"
Jinaro Refinery,"Jinaro Refinery"
Epper,"Epper"
Epper Manufacturing,"Epper Manufacturing"
Gurrola,"Gurrola"
Zafir Belt,"Zafir Belt"
Zafir Mine Station One,"Zafir Mine Station One"
Zafir Mining HQ,"Zafir Mining HQ"
Zafir Mine Station Two,"Zafir Mine Station Two"
Procopius,"Procopius"
Silani,"Silani"
Silani Mine Alpha,"Silani Mine Alpha"
Silani Mine Beta,"Silani Mine Beta"
Correa,"Correa"
Aleppo System Defense,"Aleppo System Defense"
Ompah,"Ompah"
Ompah Asteroid Mine,"Ompah Asteroid Mine"
Plevna,"Plevna"
Plevna Mine,"Plevna Mine"
Neri,"Neri"
Verrea,"Verrea"
Verrea Asteroid Cluster,"Verrea Asteroid Cluster"
Alladins Cave,"Alladins Cave"
Sarfati Lpoint,"Sarfati Lpoint"
Verrea Lpoint,"Verrea Lpoint"
Jinaro Lpoint,"Jinaro Lpoint"
