bedalov_center,"bedalov"
Bedalov Alpha,"Bedalov Alpha"
Pallava,"Pallava"
Seelye,"Seelye"
Seelye Mine,"Seelye Mine"
Harman,"Harman"
Harman Metals Mine,"Harman Metals Mine"
Julich,"Julich"
Julich Gathering,"Julich Gathering"
Moravek,"Moravek"
Mosgrove,"Mosgrove"
Hummel,"Hummel"
Hummel Mine,"Hummel Mine"
Calbault,"Calbault"
Common Metals Mining,"Common Metals Mining"
Mining Outpost,"Mining Outpost"
Kuhlmey,"Kuhlmey"
Hough Belt,"Hough Belt"
Rare Metals Mine,"Rare Metals Mine"
Hough Metals Mine,"Hough Metals Mine"
Golligers Fort,"Golligers Fort"
Poboron,"Poboron"
Mason,"Mason"
Mason Asteroid Cluster,"Mason Asteroid Cluster"
Eaton,"Eaton"
Rare Metals Processing,"Rare Metals Processing"
Ore Processing Facility,"Ore Processing Facility"
Chavez Shipping Headquarters,"Chavez Shipping Headquarters"
Chavez Central Security,"Chavez Central Security"
Chavez Central Warehousing,"Chavez Central Warehousing"
Manufacturing Station,"Manufacturing Station"
Bedalov Senate,"Bedalov Senate"
Kirby,"Kirby"
Kirby Rare Metals Mine,"Kirby Rare Metals Mine"
Mavor,"Mavor"
Markides Belt,"Markides Belt"
Markides Mining Outpost,"Markides Mining Outpost"
Markides Asteroid Mine,"Markides Asteroid Mine"
Knutson,"Knutson"
Sunczyk,"Sunczyk"
Sunczyk Mining Outpost,"Sunczyk Mining Outpost"
Kambeitz,"Kambeitz"
Pasechnik,"Pasechnik"
Janik,"Janik"
Kirby Lpoint,"Kirby Lpoint"
Calbault Lpoint,"Calbault Lpoint"
