corliss_center,"corliss"
Corliss Alpha,"Corliss Alpha"
Oxalis,"Oxalis"
Chawla,"Chawla"
Chawla Asteroid Cluster,"Chawla Asteroid Cluster"
Guilbeault,"Guilbeault"
Jai Gahn,"Jai Gahn"
Vaidwan,"Vaidwan"
Delis,"Delis"
Chiama,"Chiama"
Chiama Fuel Production Station Alpha,"Chiama Fuel Production Station Alpha"
Chiama Fuel Production Station Beta,"Chiama Fuel Production Station Beta"
Chiama Fuel Storage,"Chiama Fuel Storage"
Saffron Security Services,"Saffron Security Services"
Shaiman,"Shaiman"
Vano,"Vano"
Corliss,"Corliss"
Corliss STC,"Corliss STC"
Corliss Government Center,"Corliss Government Center"
Corliss Commodities Exchange,"Corliss Commodities Exchange"
Corliss Trade Station,"Corliss Trade Station"
Corliss Consumer Goods Production,"Corliss Consumer Goods Production"
Universal Consumer Products Regional HQ,"Universal Consumer Products Regional HQ"
Corliss Luxury Goods Production,"Corliss Luxury Goods Production"
Chavez Corliss Admin,"Chavez Corliss Admin"
Chavez Warehousing,"Chavez Warehousing"
Saffron Industries Headquarters,"Saffron Industries Headquarters"
Mowat,"Mowat"
Mowat Station,"Mowat Station"
Mowat Freight Storage,"Mowat Freight Storage"
Mowat Mineral Processing,"Mowat Mineral Processing"
Mowat Docking Platform,"Mowat Docking Platform"
Mowat ResearchStation Post,"Mowat ResearchStation Post"
Corliss Central Warehousing,"Corliss Central Warehousing"
Ladson,"Ladson"
Ladson Naval Base and Shipyard,"Ladson Naval Base and Shipyard"
Gault,"Gault"
Boone,"Boone"
Boone Leisure Complex,"Boone Leisure Complex"
Boone Waystation,"Boone Waystation"
Boone Storage Depot,"Boone Storage Depot"
Boone Fuel Processing,"Boone Fuel Processing"
Fallis,"Fallis"
Fallis Fuel Production,"Fallis Fuel Production"
Lars,"Lars"
Lars Outpost,"Lars Outpost"
Kramer,"Kramer"
MelNet FTL Relay,"MelNet FTL Relay"
Lars Lpoint,"Lars Lpoint"
