lombard_center,"lombard"
Lombard Alpha,"Lombard Alpha"
Shapiro,"Shapiro"
Shapiro Exotics Outpost Alpha,"Shapiro Exotics Outpost Alpha"
CMC Lombard Security,"CMC Lombard Security"
Shapiro Exotics Outpost Beta,"Shapiro Exotics Outpost Beta"
Vogel,"Vogel"
Dunlop,"Dunlop"
Dunlop Minerals Mine,"Dunlop Minerals Mine"
Dorie,"Dorie"
Dorie Mine,"Dorie Mine"
Laswintha,"Laswintha"
Inner Belt,"Inner Belt"
Asteroid Base Donnor,"Asteroid Base Donnor"
Asteroid Base Hunter,"Asteroid Base Hunter"
Asteroid Base Feilmen,"Asteroid Base Feilmen"
Dominator Station,"Dominator Station"
Middle Belt,"Middle Belt"
Middle Belt Asteroid Zone One,"Middle Belt Asteroid Zone One"
Middle Belt Bay,"Middle Belt Bay"
Middle Belt Asteroid Zone Two,"Middle Belt Asteroid Zone Two"
Lombardi,"Lombardi"
Morel,"Morel"
Morel Asteroid Cluster,"Morel Asteroid Cluster"
Opaline,"Opaline"
Opaline Consumer Products Factory,"Opaline Consumer Products Factory"
Opaline Luxuries Production,"Opaline Luxuries Production"
Salvatore,"Salvatore"
Archer,"Archer"
Archer Pleasure Palace,"Archer Pleasure Palace"
Lombard Station,"Lombard Station"
Lombard STC,"Lombard STC"
Lombard Government Center,"Lombard Government Center"
Universal Consumer Products Headquarters,"Universal Consumer Products Headquarters"
UCP Plastics Processing,"UCP Plastics Processing"
Archer Waystation,"Archer Waystation"
Remy,"Remy"
Foreman,"Foreman"
Foreman Military Base,"Foreman Military Base"
Segal,"Segal"
Aikenites HQ,"Aikenites HQ"
Lombards Outer Belt,"Lombards Outer Belt"
Imp Rock,"Imp Rock"
Samarra,"Samarra"
Fallon,"Fallon"
Fallon Asteroid Cluster,"Fallon Asteroid Cluster"
Strong Hand,"Strong Hand"
Fallon Asteroid Cluster Beta,"Fallon Asteroid Cluster Beta"
Brammell,"Brammell"
Brammell Asteroid Cluster,"Brammell Asteroid Cluster"
Tappin,"Tappin"
Tappin Base,"Tappin Base"
Bentley,"Bentley"
Bentley CMC HQ,"Bentley CMC HQ"
Bentley Processing Facility,"Bentley Processing Facility"
Bentley Consumer Products Production,"Bentley Consumer Products Production"
Turner,"Turner"
Eisen,"Eisen"
Salvatore Lpoint,"Salvatore Lpoint"
Brammell Lpoint,"Brammell Lpoint"
