powys_center,"powys"
Powys Alpha,"Powys Alpha"
Gwynedd,"Gwynedd"
Lloyd,"Lloyd"
Lloyd Asteroid Cluster,"Lloyd Asteroid Cluster"
Holmes,"Holmes"
Glynn,"Glynn"
Glynn Radioactives Mine,"Glynn Radioactives Mine"
Mabinogion,"Mabinogion"
Powys STC station,"Powys STC station"
Powys Senate,"Powys Senate"
Giddings,"Giddings"
Llywelyn,"Llywelyn"
CMC Llywelyn Waystation,"CMC Llywelyn Waystation"
CMC Llywelyn Security,"CMC Llywelyn Security"
CMC Llywelyn Warehousing,"CMC Llywelyn Warehousing"
Gurnsey,"Gurnsey"
Gurnsey Asteroid Mine,"Gurnsey Asteroid Mine"
Bigelow,"Bigelow"
Bigelow Mine,"Bigelow Mine"
Wynn,"Wynn"
Wynn Hideout,"Wynn Hideout"
Wynn Radioactives Asteroid,"Wynn Radioactives Asteroid"
Ennis,"Ennis"
Ennis Processing Station,"Ennis Processing Station"
Ennis Station,"Ennis Station"
Scavengers Rock of Respite,"Scavengers Rock of Respite"
Calnan,"Calnan"
Calnan Asteroid Base,"Calnan Asteroid Base"
Calnan Naval Works,"Calnan Naval Works"
Gruffydd,"Gruffydd"
Gruffydd Medical Research Station,"Gruffydd Medical Research Station"
Gruffydd Medical Production,"Gruffydd Medical Production"
Llynlea,"Llynlea"
Flindall,"Flindall"
Flindall Waystation Station,"Flindall Waystation Station"
Hammond,"Hammond"
Flindall Lpoint,"Flindall Lpoint"
Ennis Lpoint,"Ennis Lpoint"
