providence_center,"providence"
Providence Alpha,"Providence Alpha"
Palermo,"Palermo"
Musetta,"Musetta"
The Dragon Nest,"The Dragon Nest"
DeMarlo,"DeMarlo"
DeMarlo Asteroid Cluster,"DeMarlo Asteroid Cluster"
Garrabrant,"Garrabrant"
Edgewater,"Edgewater"
Ward,"Ward"
Edgewater Waystation Station,"Edgewater Waystation Station"
Ward Medicine Production,"Ward Medicine Production"
Ruppert,"Ruppert"
Providence STC,"Providence STC"
Providence Senate,"Providence Senate"
Ruppert Consumer Goods,"Ruppert Consumer Goods"
Stellar Paramed Headquarters,"Stellar Paramed Headquarters"
Stellar Paramed Secuirty,"Stellar Paramed Secuirty"
Chavez Providence Depot,"Chavez Providence Depot"
Chavez Central Warehousing,"Chavez Central Warehousing"
Chavez Shipping Security,"Chavez Shipping Security"
Roessner,"Roessner"
Vander,"Vander"
Providence Medical Complex,"Providence Medical Complex"
Providence Medical Production,"Providence Medical Production"
Vander Medical Research,"Vander Medical Research"
Vander Consumer Production,"Vander Consumer Production"
Vander Waystation,"Vander Waystation"
Fritz,"Fritz"
Fritz Asteroid Base,"Fritz Asteroid Base"
Denker,"Denker"
Denker Asteroid Cluster,"Denker Asteroid Cluster"
Ritter,"Ritter"
Ritter Mine One,"Ritter Mine One"
Ritter Mine Two,"Ritter Mine Two"
Gertner,"Gertner"
Gertner Asteroid Cluster,"Gertner Asteroid Cluster"
Asteroid Belt,"Asteroid Belt"
Lotus Outpost,"Lotus Outpost"
Dufferin,"Dufferin"
Lewis,"Lewis"
Barkers Marker,"Barkers Marker"
MelNet FTL Relay Station,"MelNet FTL Relay Station"
Lewis Lpoint,"Lewis Lpoint"
Vander Lpoint,"Vander Lpoint"
Ritter Lpoint,"Ritter Lpoint"
Fritz Lpoint,"Fritz Lpoint"
