ripon_center,"ripon"
Ripon,"Ripon"
Port-Royal,"Port-Royal"
Richelieu,"Richelieu"
Iberville,"Iberville"
Iberville Asteroid Cluster,"Iberville Asteroid Cluster"
Colbert,"Colbert"
Saints-Martyrs,"Saints-Martyrs"
Saint-Gabriel,"Saint-Gabriel"
Sainte-Genevieve,"Sainte-Genevieve"
Carignan,"Carignan"
Carignan Asteroid Cluster,"Carignan Asteroid Cluster"
Saint-Gilles,"Saint-Gilles"
Saint-Albert,"Saint-Albert"
Ripon STC,"Ripon STC"
Ripon Government Admin,"Ripon Government Admin"
La Vieille Garde,"La Vieille Garde"
Sainte-Helene,"Sainte-Helene"
Soulange,"Soulange"
Ripon System Defense Station,"Ripon System Defense Station"
Montmorency,"Montmorency"
Levis,"Levis"
Saint-Laurent,"Saint-Laurent"
Alma,"Alma"
Alma orbital,"Alma orbital"
Alma Waystation Station,"Alma Waystation Station"
Temple of Salvation,"Temple of Salvation"
House of the Brethren,"House of the Brethren"
Sainte-Foy,"Sainte-Foy"
Jeanne DArc,"Jeanne DArc"
Orleans,"Orleans"
Salliere,"Salliere"
Le Rocher,"Le Rocher"
Salliere Asteroid Cluster,"Salliere Asteroid Cluster"
Verchere,"Verchere"
Pompadour,"Pompadour"
Saint-Charles,"Saint-Charles"
Sainte-Croix,"Sainte-Croix"
Sainte-Croix Asteroid Cluster,"Sainte-Croix Asteroid Cluster"
Salliere Lpoint,"Salliere Lpoint"
Sainte-Foy Lpoint,"Sainte-Foy Lpoint"
Pompadour Lpoint,"Pompadour Lpoint"
