tau_tsun_center,"tau_tsun"
Tau Tsun Alpha,"Tau Tsun Alpha"
Shiang,"Shiang"
Mirko,"Mirko"
Mirko Luxuries Production,"Mirko Luxuries Production"
Sho,"Sho"
Sho Mineral Processing,"Sho Mineral Processing"
Sho Radioactives Processing,"Sho Radioactives Processing"
Sho Materials Assembly,"Sho Materials Assembly"
Dengo,"Dengo"
Tseng,"Tseng"
Forbidden Orbital Imperial HQ,"Forbidden Orbital Imperial HQ"
Tau Tsun STC,"Tau Tsun STC"
Imperial Mining Institute,"Imperial Mining Institute"
Imperial Customs and Security Station,"Imperial Customs and Security Station"
Tau Tsun Waystation Station,"Tau Tsun Waystation Station"
Hao Shun Systems Facility,"Hao Shun Systems Facility"
Chui Gon Manufacturing Facility,"Chui Gon Manufacturing Facility"
Hao Ping Consumer Production,"Hao Ping Consumer Production"
Tau Tsun System Defense Station,"Tau Tsun System Defense Station"
NSO Laplace Regional Headquarters,"NSO Laplace Regional Headquarters"
Tseng Shipyard,"Tseng Shipyard"
Tseng Shipyard Storage,"Tseng Shipyard Storage"
Tseng Waystation,"Tseng Waystation"
Chui Gon,"Chui Gon"
Sook,"Sook"
Jai,"Jai"
MelNet FTL Relay Station,"MelNet FTL Relay Station"
Sook Lpoint,"Sook Lpoint"
Mirko Lpoint,"Mirko Lpoint"
Jai Lpoint,"Jai Lpoint"
