x472_center,"x472"
X472,"X472"
GasA Stebor,"GasA Stebor"
MoonA Meleius,"MoonA Meleius"
Meleius Asteroid Cluster,"Meleius Asteroid Cluster"
MoonB Sypius,"MoonB Sypius"
Sypius Asteroid Cluster,"Sypius Asteroid Cluster"
MoonC Fellior,"MoonC Fellior"
Fellior,"Fellior"
MoonD Coppis,"MoonD Coppis"
MoonE Meratus,"MoonE Meratus"
Meratus Asteroid Cluster,"Meratus Asteroid Cluster"
MoonF Antius,"MoonF Antius"
Antius Asteroid Cluster Alpha,"Antius Asteroid Cluster Alpha"
Antius Asteroid Cluster Beta,"Antius Asteroid Cluster Beta"
MoonG Papius,"MoonG Papius"
Papius Asteroid Cluster,"Papius Asteroid Cluster"
MoonH Pera,"MoonH Pera"
Pera Asteroid Cluster Alpha,"Pera Asteroid Cluster Alpha"
Pera Asteroid Cluster Beta,"Pera Asteroid Cluster Beta"
MoonI Ancius,"MoonI Ancius"
MoonJ Verdes,"MoonJ Verdes"
GasA Stebor Lpoint,"GasA Stebor Lpoint"
MoonA Meleius Lpoint,"MoonA Meleius Lpoint"
MoonB Sypius Lpoint,"MoonB Sypius Lpoint"
MoonH Pera Lpoint,"MoonH Pera Lpoint"
