xu_xuan_center,"xu_xuan"
Xu Xuan Alpha,"Xu Xuan Alpha"
The Great Wall Belt,"The Great Wall Belt"
Asteroid Base Yin,"Asteroid Base Yin"
Asteroid Base Jin,"Asteroid Base Jin"
Asteroid Base Gang,"Asteroid Base Gang"
Mining Outpost,"Mining Outpost"
Fei Hong,"Fei Hong"
Processing Facility,"Processing Facility"
Nanoscience Facility,"Nanoscience Facility"
Manufacturing Station,"Manufacturing Station"
Manchuria,"Manchuria"
Imperial Biosciences Complex,"Imperial Biosciences Complex"
System Defense Outpost,"System Defense Outpost"
Imperial Governor,"Imperial Governor"
Holder,"Holder"
Manchurian Belt,"Manchurian Belt"
Yellow Flower,"Yellow Flower"
Manchurian Mining Outpost Yi,"Manchurian Mining Outpost Yi"
Manchurian Mining Outpost Er,"Manchurian Mining Outpost Er"
The Dragons Cave,"The Dragons Cave"
Jin Gzhu,"Jin Gzhu"
Jin Gzhu Shipyard,"Jin Gzhu Shipyard"
Tian Liang Reactor Assembly,"Tian Liang Reactor Assembly"
Lomax Technologies Headquarters,"Lomax Technologies Headquarters"
Lomax Station Components,"Lomax Station Components"
Jin Systems Factory,"Jin Systems Factory"
Jin Gzhu Belt,"Jin Gzhu Belt"
Imperial Weapons Facility,"Imperial Weapons Facility"
Long March Belt,"Long March Belt"
Imperial Naval Research Facility,"Imperial Naval Research Facility"
Naval Finishing Shipyard,"Naval Finishing Shipyard"
Naval Component Production Plant,"Naval Component Production Plant"
Imperial Tactical Fighter Base,"Imperial Tactical Fighter Base"
Sensor Outpost,"Sensor Outpost"
Holder Lpoint,"Holder Lpoint"
