Center,al43665_center,0,0,0,1,0,0,0,0,,,end,

;Star, name, parent, distance, rotation, elevation, magnitude, end,
Star,al43665,al43665_center,0,0,0,7,end,

;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (giant),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,GasA Taqee,al43665,3000000000.000000,0.000000,0,1,0,0,0,58502456.740013,4,2,5,0,200,200,200,149,138,114,127,116,96,0,5,255,end,
;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (moon),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,MoonA Asreem,GasA Taqee,400000000.000000,0.000000,0,1,0,0,0,4450910.977508,3,1,8,21,136,144,149,15,15,15,127,44,34,255,0,0,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Asreem Asteroid Cluster Alpha,MoonA Asreem,17803643.910031,0.000000,0,1,0,0,65,53,0,0,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Asreem Asteroid Cluster Beta,MoonA Asreem,17803643.910031,127.000000,0,1,0,0,55,53,0,0,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Asreem Asteroid Cluster Gamma,MoonA Asreem,17803643.910031,254.000000,0,1,0,0,58,7,0,0,end,
;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (moon),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,MoonB Jakeer,GasA Taqee,480000000.000000,30.000000,0,1,0,0,0,8081659.901730,3,1,0,18,141,116,136,15,15,15,127,44,34,255,0,0,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Jakeer Asteroid Cluster,MoonB Jakeer,32326639.606922,0.000000,0,1,0,0,48,7,0,0,end,
;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (moon),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,MoonC Nihoof,GasA Taqee,576000000.000000,60.000000,0,1,0,0,0,6214468.825343,3,1,5,14,127,127,124,15,15,15,127,44,34,255,0,0,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Nihoof Asteroid Cluster,MoonC Nihoof,24857875.301370,0.000000,0,1,0,0,55,53,0,0,end,
;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (moon),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,MoonD Zaree,GasA Taqee,691200000.000000,90.000000,0,1,0,0,0,10975501.266518,3,1,4,16,136,118,116,15,15,15,127,44,34,255,0,0,end,
;Belt, name, parent, distance, rotation, elevation, field size, end,
Belt,Belt A,al43665,4500000000.000000,30.000000,0,40000000.000000,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Bameez Asteroid Zone,Belt A,18000000.000000,30.000000,0,1,0,0,48,7,0,0,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Qumeer Asteroid Zone,Belt A,18000000.000000,157.000000,0,1,0,0,54,2,0,0,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Lusiyyah Asteroid Zone,Belt A,18000000.000000,284.000000,0,1,0,0,54,2,0,0,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Thufeer Asteroid Zone,Belt A,18000000.000000,51.000000,0,1,0,0,60,10,0,0,end,
Lpoint,MoonC Nihoof Lpoint,GasA Taqee,MoonC Nihoof,0.500000,0,end,
