Center,tau_tsun_center,0,0,0,1,0,0,0,0,,,end,

;Star, name, parent, distance, rotation, elevation, magnitude, end,
Star,Tau Tsun Alpha,tau_tsun_center,0,0,0,6,end,

;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (planet),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Shiang,Tau Tsun Alpha,3000000000.000000,0.000000,0,1,0,0,0,1651631.214331,2,1,1,13,200,200,200,55,55,55,127,44,34,255,0,0,end,
;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (moon),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Mirko,Shiang,400000000.000000,0.000000,0,1,0,0,0,275603.910631,3,1,5,14,120,121,113,15,15,15,127,44,34,255,0,0,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Mirko Luxuries Production,Mirko,1102415.642523,0.000000,0,1,0,0,5,33,25,4,end,
;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (moon),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Sho,Shiang,480000000.000000,30.000000,0,1,0,0,0,510854.117642,3,1,3,16,132,144,143,15,15,15,127,44,34,255,0,0,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Sho Mineral Processing,Sho,2043416.470567,0.000000,0,1,0,0,1,15,25,4,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Sho Radioactives Processing,Sho,2043416.470567,127.000000,0,1,0,0,1,18,25,4,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Sho Materials Assembly,Sho,2043416.470567,254.000000,0,1,0,0,1,16,25,4,end,

;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (planet),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Dengo,Tau Tsun Alpha,4500000000.000000,30.000000,0,1,0,0,0,4594592.120121,2,1,5,3,200,200,200,55,55,55,127,44,34,255,0,0,end,

;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (planet),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Tseng,Tau Tsun Alpha,6750000000.000000,60.000000,0,1,0,0,0,8715323.343608,2,1,24,25,200,200,200,55,55,55,127,44,34,255,0,0,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Forbidden Orbital Imperial HQ,Tseng,34861293.374432,0.000000,0,1,0,0,9,94,5,4,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Tau Tsun STC,Tseng,34861293.374432,127.000000,0,1,0,0,15,68,5,4,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Imperial Mining Institute,Tseng,34861293.374432,254.000000,0,1,0,0,9,47,31,4,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Imperial Customs and Security Station,Tseng,34861293.374432,21.000000,0,1,0,0,15,68,5,4,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Tau Tsun Waystation Station,Tseng,34861293.374432,148.000000,0,1,0,0,15,36,25,4,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Hao Shun Systems Facility,Tseng,34861293.374432,275.000000,0,1,0,0,5,24,25,4,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Chui Gon Manufacturing Facility,Tseng,34861293.374432,42.000000,0,1,0,0,5,22,25,4,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Hao Ping Consumer Production,Tseng,34861293.374432,169.000000,0,1,0,0,5,33,25,4,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Tau Tsun System Defense Station,Tseng,34861293.374432,296.000000,0,1,0,0,7,71,5,4,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,NSO Laplace Regional Headquarters,Tseng,34861293.374432,63.000000,0,1,0,0,9,47,16,4,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Tseng Shipyard,Tseng,34861293.374432,190.000000,0,1,0,0,7,21,16,4,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Tseng Shipyard Storage,Tseng,34861293.374432,317.000000,0,1,0,0,9,62,16,4,end,
;Station, name, parent, distance, rotation, elevation, orientation x, y, z, station model, hab type, faction, populatin, end,
Station,Tseng Waystation,Tseng,34861293.374432,84.000000,0,1,0,0,15,36,16,4,end,
;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type (moon),	Texture Type, Texture Map 1, Texture Map 2,Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk, Cloud Texture Map, Number Rings, Cloud Opacity, end,
Body,Chui Gon,Tseng,400000000.000000,60.000000,0,1,0,0,0,3287089.734269,3,1,4,19,130,131,144,15,15,15,127,44,34,255,0,0,end,
