al40064_center,"al40064"
al40064,"al40064"
GasA Ineedah,"GasA Ineedah"
MoonA Shaftool,"MoonA Shaftool"
Shaftool Asteroid Cluster,"Shaftool Asteroid Cluster"
MoonB Faheer,"MoonB Faheer"
Faheer Asteroid Cluster Alpha,"Faheer Asteroid Cluster Alpha"
Faheer Asteroid Cluster Beta,"Faheer Asteroid Cluster Beta"
MoonC Ajmeen,"MoonC Ajmeen"
MoonD Sudeen,"MoonD Sudeen"
MoonE Shardeeb,"MoonE Shardeeb"
Shardeeb Asteroid Cluster,"Shardeeb Asteroid Cluster"
BeltA,"BeltA"
Mudeelah Asteroid Zone,"Mudeelah Asteroid Zone"
Qawee Asteroid Zone,"Qawee Asteroid Zone"
Bameez Asteroid Zone,"Bameez Asteroid Zone"
PlanetA Zulaam,"PlanetA Zulaam"
MoonA Ibradeen,"MoonA Ibradeen"
Ibradeen Asteroid Cluster,"Ibradeen Asteroid Cluster"
MoonB Rabeeb,"MoonB Rabeeb"
PlanetB Yoosef,"PlanetB Yoosef"
MoonA Muhrah,"MoonA Muhrah"
Muhrah Asteroid Cluster,"Muhrah Asteroid Cluster"
MoonB Itah,"MoonB Itah"
MoonB Faheer Lpoint,"MoonB Faheer Lpoint"
MoonD Sudeen Lpoint,"MoonD Sudeen Lpoint"
MoonB Itah Lpoint,"MoonB Itah Lpoint"
MoonE Shardeeb Lpoint,"MoonE Shardeeb Lpoint"
