emerald_sys_center,"emerald_sys"
Emerald Alpha,"Emerald Alpha"
Ruby,"Ruby"
Blackstone,"Blackstone"
Blackstone Base,"Blackstone Base"
Bloodstone,"Bloodstone"
Sapphire,"Sapphire"
Moonstone,"Moonstone"
Emerald,"Emerald"
Fairweather Organics Processing,"Fairweather Organics Processing"
Emerald Shipbays,"Emerald Shipbays"
Emerald STC,"Emerald STC"
Emerald Capitol,"Emerald Capitol"
Emerald Defense Station,"Emerald Defense Station"
Emerald Waystation Station,"Emerald Waystation Station"
Amethyst Transfer Station,"Amethyst Transfer Station"
Sapphire Transfer Station,"Sapphire Transfer Station"
Emerald Minerals Processing,"Emerald Minerals Processing"
Azran Exotic Metals Processing,"Azran Exotic Metals Processing"
Organic Processing Plant,"Organic Processing Plant"
Turquoise Transfer Station,"Turquoise Transfer Station"
Lightstone Organics Processing,"Lightstone Organics Processing"
Pearl,"Pearl"
Pearl Nanotech Factory,"Pearl Nanotech Factory"
Pearl Research Station,"Pearl Research Station"
Jade,"Jade"
Crystal,"Crystal"
Jade Manufacturing Station,"Jade Manufacturing Station"
Beryl,"Beryl"
NSO Laplace Regional Headquarters,"NSO Laplace Regional Headquarters"
Beryl Shipyard,"Beryl Shipyard"
Beryl Shipyard Storage Facility,"Beryl Shipyard Storage Facility"
Beryl Waystation,"Beryl Waystation"
Beryl Radioactives Processing,"Beryl Radioactives Processing"
Emerald Heavy Manufacturing,"Emerald Heavy Manufacturing"
Emerald Shipyard,"Emerald Shipyard"
Universal Consumer Products Regional Headquarters,"Universal Consumer Products Regional Headquarters"
Beryl Consumer Products Factory,"Beryl Consumer Products Factory"
Diamond,"Diamond"
Zircon,"Zircon"
Military Outpost,"Military Outpost"
Opal,"Opal"
MelNet FTL Relay,"MelNet FTL Relay"
Crystal Lpoint,"Crystal Lpoint"
Beryl Lpoint,"Beryl Lpoint"
Zircon Lpoint,"Zircon Lpoint"
