epitaph_center,"epitaph"
Omayyad,"Omayyad"
Styx,"Styx"
Sassania,"Sassania"
Querelle,"Querelle"
Rashomon,"Rashomon"
Tampopo,"Tampopo"
Golgotha Asteroid Belt,"Golgotha Asteroid Belt"
Golgotha Asteroid Zone Alpha,"Golgotha Asteroid Zone Alpha"
Golgotha Asteroid Zone Beta,"Golgotha Asteroid Zone Beta"
Malefique,"Malefique"
Knell,"Knell"
Sarcophage,"Sarcophage"
Samhain,"Samhain"
Bardash,"Bardash"
The Gargoyles Perch,"The Gargoyles Perch"
Bardash Weapons Factory,"Bardash Weapons Factory"
Bardash Shipyard,"Bardash Shipyard"
Al Ameren,"Al Ameren"
Sagerbrecht,"Sagerbrecht"
Sagerbrecht Waystation Station,"Sagerbrecht Waystation Station"
No Go Zone,"No Go Zone"
Valhalla,"Valhalla"
Freddy,"Freddy"
Freddy Asteroid Cluster,"Freddy Asteroid Cluster"
Jason,"Jason"
Michael,"Michael"
Norman,"Norman"
Hannibal,"Hannibal"
Hannibal Asteroid Cluster,"Hannibal Asteroid Cluster"
Carrie,"Carrie"
Leatherface,"Leatherface"
Jack,"Jack"
Ash,"Ash"
Thanatos,"Thanatos"
Mordred,"Mordred"
Scar,"Scar"
Quatermass,"Quatermass"
Farnham,"Farnham"
Quatermass Station,"Quatermass Station"
The Keep,"The Keep"
Omayyad Outpost,"Omayyad Outpost"
Grosvenor,"Grosvenor"
Billings,"Billings"
Gruber,"Gruber"
Bylsma,"Bylsma"
Mordred Lpoint,"Mordred Lpoint"
Knell Lpoint,"Knell Lpoint"
