huang_center,"huang"
Huang Alpha,"Huang Alpha"
Lin,"Lin"
Long,"Long"
Drake Station,"Drake Station"
Lou,"Lou"
Yong Yuan Factory,"Yong Yuan Factory"
Lai,"Lai"
Lung,"Lung"
Chavez Huang Depot,"Chavez Huang Depot"
Chavez Shipping Security,"Chavez Shipping Security"
Feichang Hao Nano Production,"Feichang Hao Nano Production"
Chao Yun Nano Materials,"Chao Yun Nano Materials"
Lung Fuel Refinery,"Lung Fuel Refinery"
Lan,"Lan"
Huang Waystation Station,"Huang Waystation Station"
Tong,"Tong"
Yee,"Yee"
Yee Entertainment,"Yee Entertainment"
Tong Station,"Tong Station"
Gin Hua Yan,"Gin Hua Yan"
Liang,"Liang"
Chu Xien,"Chu Xien"
Ko Shiu,"Ko Shiu"
Huang Senate,"Huang Senate"
Huang STC,"Huang STC"
Lieh,"Lieh"
Lieh Asteroid Cluster,"Lieh Asteroid Cluster"
Yeung Jun,"Yeung Jun"
Mining Outpost,"Mining Outpost"
Yeung Fuel Refinery,"Yeung Fuel Refinery"
Gao Li Element Refinery,"Gao Li Element Refinery"
Yan,"Yan"
Yan Asteroid Cluster,"Yan Asteroid Cluster"
Pang,"Pang"
Pang ElementRefinery,"Pang ElementRefinery"
Kong,"Kong"
Golligers Waypoint,"Golligers Waypoint"
Ko Shiu Lpoint,"Ko Shiu Lpoint"
Lai Lpoint,"Lai Lpoint"
