kronholm_center,"kronholm"
Kronholm Alpha,"Kronholm Alpha"
Kogan,"Kogan"
Lamar,"Lamar"
Lamar Shipyard,"Lamar Shipyard"
Vernons Leap,"Vernons Leap"
Vernon Asteroid Cluster,"Vernon Asteroid Cluster"
Lundquist,"Lundquist"
Daiglish,"Daiglish"
Kronholm STC,"Kronholm STC"
Kronholm Waystation Station,"Kronholm Waystation Station"
Withnail,"Withnail"
Kronholm Station,"Kronholm Station"
Rochester,"Rochester"
Rochester Reactors Assembly,"Rochester Reactors Assembly"
Rochester Weapons Facility,"Rochester Weapons Facility"
Rochester Manufacturing,"Rochester Manufacturing"
Lundquist Systems Factory,"Lundquist Systems Factory"
Bartlett,"Bartlett"
Reardon,"Reardon"
Reardon Shipyard,"Reardon Shipyard"
System Defense Station,"System Defense Station"
Kronholm Government Center,"Kronholm Government Center"
Stibbe,"Stibbe"
Chavez Kronholm Depot,"Chavez Kronholm Depot"
Stibbe Warehousing,"Stibbe Warehousing"
Chavez Shipping Security,"Chavez Shipping Security"
Angevine,"Angevine"
Mudra,"Mudra"
Imperial Military Garrison,"Imperial Military Garrison"
Klepaki,"Klepaki"
Shiumi,"Shiumi"
Aoki,"Aoki"
Naval Outpost,"Naval Outpost"
Okahara,"Okahara"
Systems Manufacturing,"Systems Manufacturing"
Advanced Nano Facility A,"Advanced Nano Facility A"
Advanced Nano Facility B,"Advanced Nano Facility B"
Okahara Reactors Assembly,"Okahara Reactors Assembly"
Energy Cells Production,"Energy Cells Production"
Okahara Systems Factory,"Okahara Systems Factory"
Okahara Storage Depot,"Okahara Storage Depot"
Aoki Waystation,"Aoki Waystation"
Okahara Heavy Industry,"Okahara Heavy Industry"
Fukuoka,"Fukuoka"
MelNet FTL Relay,"MelNet FTL Relay"
Aoki Lpoint,"Aoki Lpoint"
Angevine Lpoint,"Angevine Lpoint"
Fukuoka Lpoint,"Fukuoka Lpoint"
Reardon Lpoint,"Reardon Lpoint"
