new_const_center,"new_const"
Tulinid,"Tulinid"
Al Battani,"Al Battani"
Accolus,"Accolus"
Aurius,"Aurius"
Carolus,"Carolus"
Djibouti,"Djibouti"
Battani Sation,"Battani Sation"
Battani Shipyard,"Battani Shipyard"
Leolius,"Leolius"
Marius Base,"Marius Base"
Olalius,"Olalius"
Singulus,"Singulus"
Trochlius,"Trochlius"
Aljaya,"Aljaya"
Aljaya Transfer Beanstalk,"Aljaya Transfer Beanstalk"
Aljaya Robotics Facility,"Aljaya Robotics Facility"
Allah Energy Cells Assembly,"Allah Energy Cells Assembly"
Sultanate Consumer Production,"Sultanate Consumer Production"
Aljaya Heavy Systems Production,"Aljaya Heavy Systems Production"
Aljaya Reactors Production,"Aljaya Reactors Production"
Aljaya Shipyard,"Aljaya Shipyard"
Mariq,"Mariq"
Tariq,"Tariq"
Manufacturing Station,"Manufacturing Station"
Tariq Shipyard,"Tariq Shipyard"
NSO Laplace Central Security,"NSO Laplace Central Security"
Antara,"Antara"
Akbar,"Akbar"
Biralla,"Biralla"
Ibrahim,"Ibrahim"
Joaqim,"Joaqim"
Omar,"Omar"
Raballa,"Raballa"
Ashalla,"Ashalla"
Harsha,"Harsha"
Hira,"Hira"
Dramhin,"Dramhin"
Eva Cara,"Eva Cara"
Waystation Station,"Waystation Station"
Ibn Abi R abia,"Ibn Abi R abia"
Harun,"Harun"
Muhammed,"Muhammed"
Kasim,"Kasim"
Kasim Station,"Kasim Station"
Cindra,"Cindra"
New Constantinople,"New Constantinople"
New Constantinople Transfer,"New Constantinople Transfer"
Palace,"Palace"
Idris,"Idris"
The Mustapha Institute,"The Mustapha Institute"
Idris Food Processing,"Idris Food Processing"
Idris Radioactives,"Idris Radioactives"
Synthetic Foods Production,"Synthetic Foods Production"
NC Organics Production,"NC Organics Production"
Iona,"Iona"
Pashasan Systems Manufacturing,"Pashasan Systems Manufacturing"
Iona Electronics Manufacturing,"Iona Electronics Manufacturing"
New Constantinople STC,"New Constantinople STC"
New Constantinople Trade Bureau HQ,"New Constantinople Trade Bureau HQ"
Iona Radioactive Processing,"Iona Radioactive Processing"
NSO Laplace Corporate Headquarters,"NSO Laplace Corporate Headquarters"
Jardin Terraforming Regional Headquarters,"Jardin Terraforming Regional Headquarters"
Sirocco,"Sirocco"
Brophius,"Brophius"
Eimskip,"Eimskip"
Gruner,"Gruner"
Grinnel Freightlines Headquarters,"Grinnel Freightlines Headquarters"
Grinnel Main Warehousing,"Grinnel Main Warehousing"
Gruner Waystation,"Gruner Waystation"
Jazeel,"Jazeel"
Jazeel Naval Shipyard,"Jazeel Naval Shipyard"
Jazeel Civilian Shipyard,"Jazeel Civilian Shipyard"
Ludmilla,"Ludmilla"
Matella,"Matella"
Matella Asteroid Cluster,"Matella Asteroid Cluster"
Naleema,"Naleema"
Occam,"Occam"
Omalla,"Omalla"
Pasha,"Pasha"
Pasha Asteroid Cluster,"Pasha Asteroid Cluster"
Rula,"Rula"
Suleyman,"Suleyman"
Telos,"Telos"
Asteroids,"Asteroids"
Asteroid Base,"Asteroid Base"
Research Facility,"Research Facility"
Zelda,"Zelda"
MelNet FTL Relay,"MelNet FTL Relay"
Kuniper Belt,"Kuniper Belt"
Angels Rest,"Angels Rest"
Jazeel Lpoint,"Jazeel Lpoint"
Aurius Lpoint,"Aurius Lpoint"
Rula Lpoint,"Rula Lpoint"
