nureddin_center,"nureddin"
Nureddin,"Nureddin"
Cordoba,"Cordoba"
Barakka,"Barakka"
Barakka Asteroid Cluster,"Barakka Asteroid Cluster"
El Cid,"El Cid"
Drexen,"Drexen"
Drexen Asteroid Cluster,"Drexen Asteroid Cluster"
Olaf,"Olaf"
New Istanbul,"New Istanbul"
Nureddin STC Station,"Nureddin STC Station"
Yehzid Food Processing,"Yehzid Food Processing"
New Istanbul Asteroid Cluster,"New Istanbul Asteroid Cluster"
Grinnel Shipping Station,"Grinnel Shipping Station"
Jiddah,"Jiddah"
Nureddin System Defense Station,"Nureddin System Defense Station"
Nureddin Centeral Government,"Nureddin Centeral Government"
Clovis,"Clovis"
Clovis Nano Fibre Production,"Clovis Nano Fibre Production"
Clovis Fuel Processing Facility,"Clovis Fuel Processing Facility"
Clovis Asteroid Cluster,"Clovis Asteroid Cluster"
Ghiddrah,"Ghiddrah"
Mesa Corporation HQ Station,"Mesa Corporation HQ Station"
Mesa Advanced Materials,"Mesa Advanced Materials"
Mesa Orbital Systems Production,"Mesa Orbital Systems Production"
Vellus,"Vellus"
Tallus,"Tallus"
Autharia,"Autharia"
Nureddin Naval Shipyard,"Nureddin Naval Shipyard"
Security Station,"Security Station"
Thrasamund,"Thrasamund"
Fatteeh Asteroids Belt,"Fatteeh Asteroids Belt"
Rileefah Asteroid Zone,"Rileefah Asteroid Zone"
The Basket,"The Basket"
Natf Asteroid Zone,"Natf Asteroid Zone"
Sareen Asteroid Zone,"Sareen Asteroid Zone"
Drexen Lpoint,"Drexen Lpoint"
Thrasamund Lpoint,"Thrasamund Lpoint"
