t_ang_center,"t_ang"
T Ang Alpha,"T Ang Alpha"
Lavoisier,"Lavoisier"
Lavoisier Sec,"Lavoisier Sec"
Asseltine,"Asseltine"
Asseltine Asteroid Cluster Alpha,"Asseltine Asteroid Cluster Alpha"
Asseltine Asteroid Mine,"Asseltine Asteroid Mine"
Grundy,"Grundy"
Grundy Asteroid Cluster,"Grundy Asteroid Cluster"
Quesnelle,"Quesnelle"
Ypres,"Ypres"
T Ang STC station,"T Ang STC station"
Markus Corp Capsule Research Facility,"Markus Corp Capsule Research Facility"
Ypres Waystation,"Ypres Waystation"
Ypres Police,"Ypres Police"
Pynenburg,"Pynenburg"
T Ang Governor,"T Ang Governor"
Zhonyang,"Zhonyang"
Zhonyang Asteroid Cluster,"Zhonyang Asteroid Cluster"
Gui Jin,"Gui Jin"
Bonaparte,"Bonaparte"
Yinma,"Yinma"
Liu,"Liu"
Liu Waystation,"Liu Waystation"
Han,"Han"
Han Asteroid Cluster,"Han Asteroid Cluster"
Qian,"Qian"
Qian Waystation,"Qian Waystation"
Zhang Shan,"Zhang Shan"
Zhang Gathering,"Zhang Gathering"
San Xiang,"San Xiang"
San Xiang Minerals Mine,"San Xiang Minerals Mine"
San Xiang Asteroid Cluster,"San Xiang Asteroid Cluster"
Su-Ping,"Su-Ping"
Su-Ping Asteroid Cluster Yi,"Su-Ping Asteroid Cluster Yi"
Su-Ping Asteroid Cluster Er,"Su-Ping Asteroid Cluster Er"
She Tsung,"She Tsung"
Qian Lpoint,"Qian Lpoint"
Zhonyang Lpoint,"Zhonyang Lpoint"
Liu Lpoint,"Liu Lpoint"
