x788_center,"x788"
X788,"X788"
GasA Plarus,"GasA Plarus"
MoonA Laelia,"MoonA Laelia"
Laelia Asteroid Cluster Alpha,"Laelia Asteroid Cluster Alpha"
Laelia Asteroid Cluster Beta,"Laelia Asteroid Cluster Beta"
MoonB Ammenes,"MoonB Ammenes"
Ammenes Asteroid Cluster,"Ammenes Asteroid Cluster"
MoonC Quillus,"MoonC Quillus"
Quillus Asteroid Cluster,"Quillus Asteroid Cluster"
MoonD Cario,"MoonD Cario"
Cario Asteroid Cluster,"Cario Asteroid Cluster"
MoonE Danius,"MoonE Danius"
Danius Asteroid Cluster,"Danius Asteroid Cluster"
MoonF Recia,"MoonF Recia"
Recia Asteroid Cluster,"Recia Asteroid Cluster"
MoonG Nallia,"MoonG Nallia"
MoonH Sartis,"MoonH Sartis"
MoonI Arria,"MoonI Arria"
MoonJ Litis,"MoonJ Litis"
Litis Asteroid Cluster,"Litis Asteroid Cluster"
MoonK Vaeco,"MoonK Vaeco"
MoonL Potho,"MoonL Potho"
PlanetA Sicanian,"PlanetA Sicanian"
MoonA Mecia,"MoonA Mecia"
Mecia Asteroid Cluster,"Mecia Asteroid Cluster"
MoonB Brupus,"MoonB Brupus"
MoonC Veccius,"MoonC Veccius"
Veccius Asteroid Cluster,"Veccius Asteroid Cluster"
MoonD Mutian,"MoonD Mutian"
MoonE Enaeus,"MoonE Enaeus"
MoonD Mutian Lpoint,"MoonD Mutian Lpoint"
MoonB Brupus Lpoint,"MoonB Brupus Lpoint"
MoonJ Litis Lpoint,"MoonJ Litis Lpoint"
