;Center, Name,
Center,bumpys_star_center,bumpys_star_center,

;Star, Name, Parent, Distance, Rotation, Elevation, Color,
Star,Bumpys,bumpys_star_center,0.000000,   0,   0,5,

;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type,Texture Type, Texture Map 1, Texture Map 2, Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk,Cloud Texture Map, Number Rings, Cloud Opacity,
Body,Pinetop,Bumpys,40000000000.000000,   0,   0,1.000000, 0.000000, 0.000000,0.000000, 2492874.000000, 2,2, 18,1,255.000000, 255.000000, 255.000000,0.000000, 0.000000, 0.000000,127.000000, 44.000000, 34.000000,255, 0, 0,

;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type,Texture Type, Texture Map 1, Texture Map 2, Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk,Cloud Texture Map, Number Rings, Cloud Opacity,
Body,Perkins,Pinetop,400000000.000000,   0,   0,1.000000, 0.000000, 0.000000,0.000000, 354401.406250, 3,15, 41,1,255.000000, 255.000000, 255.000000,0.000000, 0.000000, 0.000000,127.000000, 44.000000, 34.000000,255, 0, 0,

;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type,Texture Type, Texture Map 1, Texture Map 2, Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk,Cloud Texture Map, Number Rings, Cloud Opacity,
Body,Keylime,Pinetop,630000000.000002,  30,   0,1.000000, 0.000000, 0.000000,0.000000, 403868.468750, 3,28, 44,1,255.000000, 255.000000, 255.000000,0.000000, 0.000000, 0.000000,127.000000, 44.000000, 34.000000,255, 0, 0,

;Station, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z,Station Model, Habitat Type, Faction Allegiance, Population,
Station,Keylime Refinery,Keylime,15000000.000000,   0,   0,1.000000, 0.000000, 0.000000,1, 15, 0, 10,

;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type,Texture Type, Texture Map 1, Texture Map 2, Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk,Cloud Texture Map, Number Rings, Cloud Opacity,
Body,Jellyroll,Bumpys,49999998976.000008,  30,   0,1.000000, 0.000000, 0.000000,0.000000, 4921537.000000, 2,14, 21,1,255.000000, 255.000000, 255.000000,0.000000, 0.000000, 0.000000,127.000000, 44.000000, 34.000000,255, 0, 0,

;Body, Name, Parent, Distance, Rotation, Elevation, Orientation X, Y, Z, Y Scale, Body Radius, Body Type,Texture Type, Texture Map 1, Texture Map 2, Red Low, Blue Low, Green Low, Red High, Green High, Blue High, Red Unk, Green Unk, Blue Unk,Cloud Texture Map, Number Rings, Cloud Opacity,
